Year,type of water body,status class,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,running waters,unclear,,,,2.8
2021,running waters,unclear,,,,1.7
2015,running waters,bad,,,,19.9
2021,running waters,bad,,,,19.1
2015,running waters,poor,,,,34.4
2021,running waters,poor,,,,34.9
2015,running waters,moderate,,,,36.2
2021,running waters,moderate,,,,36.3
2015,running waters,good or very good,,,,6.7
2021,running waters,good or very good,,,,8.0
2015,lakes,unclear,,,,2.9
2021,lakes,unclear,,,,4.0
2015,lakes,bad,,,,10.5
2021,lakes,bad,,,,9.4
2015,lakes,poor,,,,26.2
2021,lakes,poor,,,,25.8
2015,lakes,moderate,,,,34.0
2021,lakes,moderate,,,,36.1
2015,lakes,good or very good,,,,26.4
2021,lakes,good or very good,,,,24.7
2010,water bodies in transitional and coastal waters - north sea,unclear,-,,,0.0
2015,water bodies in transitional and coastal waters - north sea,unclear,,,,14.0
2021,water bodies in transitional and coastal waters - north sea,unclear,-,,,0.0
2010,water bodies in transitional and coastal waters - north sea,bad,,,,4.0
2015,water bodies in transitional and coastal waters - north sea,bad,,,,11.0
2021,water bodies in transitional and coastal waters - north sea,bad,,,,14.0
2010,water bodies in transitional and coastal waters - north sea,poor,,,,32.0
2015,water bodies in transitional and coastal waters - north sea,poor,,,,31.0
2021,water bodies in transitional and coastal waters - north sea,poor,,,,32.0
2010,water bodies in transitional and coastal waters - north sea,moderate,,,,64.0
2015,water bodies in transitional and coastal waters - north sea,moderate,,,,44.0
2021,water bodies in transitional and coastal waters - north sea,moderate,,,,54.0
2010,water bodies in transitional and coastal waters - north sea,good or very good,‒,,,0.0
2015,water bodies in transitional and coastal waters - north sea,good or very good,‒,,,0.0
2021,water bodies in transitional and coastal waters - north sea,good or very good,‒,,,0.0
2010,water bodies in transitional and coastal waters - baltic sea,unclear,‒,,,0.0
2015,water bodies in transitional and coastal waters - baltic sea,unclear,,,,4.0
2021,water bodies in transitional and coastal waters - baltic sea,unclear,‒,,,0.0
2010,water bodies in transitional and coastal waters - baltic sea,bad,,,,16.0
2015,water bodies in transitional and coastal waters - baltic sea,bad,,,,32.0
2021,water bodies in transitional and coastal waters - baltic sea,bad,,,,27.0
2010,water bodies in transitional and coastal waters - baltic sea,poor,,,,50.0
2015,water bodies in transitional and coastal waters - baltic sea,poor,,,,32.0
2021,water bodies in transitional and coastal waters - baltic sea,poor,,,,40.0
2010,water bodies in transitional and coastal waters - baltic sea,moderate,,,,32.0
2015,water bodies in transitional and coastal waters - baltic sea,moderate,,,,32.0
2021,water bodies in transitional and coastal waters - baltic sea,moderate,,,,33.0
2010,water bodies in transitional and coastal waters - baltic sea,good or very good,,,,2.0
2015,water bodies in transitional and coastal waters - baltic sea,good or very good,‒,,,0.0
2021,water bodies in transitional and coastal waters - baltic sea,good or very good,‒,,,0.0
