Year,timeseries,characteristics,Value
2010,toilet,available,98.4
2011,toilet,available,99.1
2012,toilet,available,99.1
2013,toilet,available,99.9
2014,toilet,available,100.0
2015,toilet,available,99.9
2016,toilet,available,99.9
2017,toilet,available,99.9
2018,toilet,available,100.0
2019,toilet,available,99.8
2010,bathtub or shower,available,99.5
2011,bathtub or shower,available,99.9
2012,bathtub or shower,available,99.9
2013,bathtub or shower,available,100.0
2014,bathtub or shower,available,100.0
2015,bathtub or shower,available,100.0
2016,bathtub or shower,available,100.0
2017,bathtub or shower,available,100.0
2018,bathtub or shower,available,100.0
2019,bathtub or shower,available,100.0
2010,toilet,not available,1.6
2011,toilet,not available,0.9
2012,toilet,not available,0.9
2013,toilet,not available,0.1
2014,toilet,not available,0.0
2015,toilet,not available,0.1
2016,toilet,not available,0.1
2017,toilet,not available,0.1
2018,toilet,not available,0.0
2019,toilet,not available,0.2
2010,bathtub or shower,not available,0.5
2011,bathtub or shower,not available,0.1
2012,bathtub or shower,not available,0.1
2013,bathtub or shower,not available,0.0
2014,bathtub or shower,not available,0.0
2015,bathtub or shower,not available,0.0
2016,bathtub or shower,not available,0.0
2017,bathtub or shower,not available,0.0
2018,bathtub or shower,not available,0.0
2019,bathtub or shower,not available,0.0
