Year,timeseries,field of work,level of court,Value
2010,ratio of female members in the public service,,,1.1
2011,ratio of female members in the public service,,,1.08
2012,ratio of female members in the public service,,,1.09
2013,ratio of female members in the public service,,,1.1
2014,ratio of female members in the public service,,,1.1
2015,ratio of female members in the public service,,,1.11
2016,ratio of female members in the public service,,,1.12
2017,ratio of female members in the public service,,,1.13
2018,ratio of female members in the public service,,,1.14
2019,ratio of female members in the public service,,,1.14
2020,ratio of female members in the public service,,,
2010,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.06
2011,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.06
2012,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.07
2013,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.08
2014,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.08
2015,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.09
2016,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.11
2017,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.12
2018,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.12
2019,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,1.13
2020,ratio of female members in the public service,"political leadership and central administration, foreign affairs",,
2010,ratio of female members in the public service,police,,0.5
2011,ratio of female members in the public service,police,,0.48
2012,ratio of female members in the public service,police,,0.49
2013,ratio of female members in the public service,police,,0.5
2014,ratio of female members in the public service,police,,0.51
2015,ratio of female members in the public service,police,,0.52
2016,ratio of female members in the public service,police,,0.53
2017,ratio of female members in the public service,police,,0.55
2018,ratio of female members in the public service,police,,0.57
2019,ratio of female members in the public service,police,,0.59
2020,ratio of female members in the public service,police,,
2010,ratio of female members in the public service,"education, science, research, cultural affairs",,1.32
2011,ratio of female members in the public service,"education, science, research, cultural affairs",,1.32
2012,ratio of female members in the public service,"education, science, research, cultural affairs",,1.32
2013,ratio of female members in the public service,"education, science, research, cultural affairs",,1.33
2014,ratio of female members in the public service,"education, science, research, cultural affairs",,1.33
2015,ratio of female members in the public service,"education, science, research, cultural affairs",,1.33
2016,ratio of female members in the public service,"education, science, research, cultural affairs",,1.34
2017,ratio of female members in the public service,"education, science, research, cultural affairs",,1.35
2018,ratio of female members in the public service,"education, science, research, cultural affairs",,1.35
2019,ratio of female members in the public service,"education, science, research, cultural affairs",,1.35
2020,ratio of female members in the public service,"education, science, research, cultural affairs",,
2010,ratio of female members in the public service,"health, environment, sports and recreation",,1.24
2011,ratio of female members in the public service,"health, environment, sports and recreation",,1.24
2012,ratio of female members in the public service,"health, environment, sports and recreation",,1.23
2013,ratio of female members in the public service,"health, environment, sports and recreation",,1.22
2014,ratio of female members in the public service,"health, environment, sports and recreation",,1.25
2015,ratio of female members in the public service,"health, environment, sports and recreation",,1.25
2016,ratio of female members in the public service,"health, environment, sports and recreation",,1.26
2017,ratio of female members in the public service,"health, environment, sports and recreation",,1.15
2018,ratio of female members in the public service,"health, environment, sports and recreation",,1.23
2019,ratio of female members in the public service,"health, environment, sports and recreation",,1.24
2020,ratio of female members in the public service,"health, environment, sports and recreation",,
2010,ratio of female members in the judiciary,,,0.84
2011,ratio of female members in the judiciary,,,0.85
2012,ratio of female members in the judiciary,,,0.87
2013,ratio of female members in the judiciary,,,0.88
2014,ratio of female members in the judiciary,,,0.89
2015,ratio of female members in the judiciary,,,0.93
2016,ratio of female members in the judiciary,,,0.95
2017,ratio of female members in the judiciary,,,0.97
2018,ratio of female members in the judiciary,,,0.98
2019,ratio of female members in the judiciary,,,1.0
2020,ratio of female members in the judiciary,,,1.01
2010,ratio of female members in the judiciary,,supreme/constitutional courts,0.5
2011,ratio of female members in the judiciary,,supreme/constitutional courts,0.5
2012,ratio of female members in the judiciary,,supreme/constitutional courts,0.55
2013,ratio of female members in the judiciary,,supreme/constitutional courts,0.52
2014,ratio of female members in the judiciary,,supreme/constitutional courts,0.58
2015,ratio of female members in the judiciary,,supreme/constitutional courts,0.58
2016,ratio of female members in the judiciary,,supreme/constitutional courts,0.68
2017,ratio of female members in the judiciary,,supreme/constitutional courts,0.68
2018,ratio of female members in the judiciary,,supreme/constitutional courts,0.74
2019,ratio of female members in the judiciary,,supreme/constitutional courts,0.74
2020,ratio of female members in the judiciary,,supreme/constitutional courts,0.74
2010,ratio of female members in the judiciary,,higher-level courts,0.64
2011,ratio of female members in the judiciary,,higher-level courts,0.66
2012,ratio of female members in the judiciary,,higher-level courts,0.67
2013,ratio of female members in the judiciary,,higher-level courts,0.68
2014,ratio of female members in the judiciary,,higher-level courts,0.7
2015,ratio of female members in the judiciary,,higher-level courts,0.73
2016,ratio of female members in the judiciary,,higher-level courts,0.76
2017,ratio of female members in the judiciary,,higher-level courts,0.79
2018,ratio of female members in the judiciary,,higher-level courts,0.8
2019,ratio of female members in the judiciary,,higher-level courts,0.81
2020,ratio of female members in the judiciary,,higher-level courts,0.83
2010,ratio of female members in the judiciary,,lower-level courts,0.89
2011,ratio of female members in the judiciary,,lower-level courts,0.9
2012,ratio of female members in the judiciary,,lower-level courts,0.92
2013,ratio of female members in the judiciary,,lower-level courts,0.93
2014,ratio of female members in the judiciary,,lower-level courts,0.94
2015,ratio of female members in the judiciary,,lower-level courts,0.98
2016,ratio of female members in the judiciary,,lower-level courts,1.0
2017,ratio of female members in the judiciary,,lower-level courts,1.02
2018,ratio of female members in the judiciary,,lower-level courts,1.02
2019,ratio of female members in the judiciary,,lower-level courts,1.04
2020,ratio of female members in the judiciary,,lower-level courts,1.06
