Year,completeness of disaggregation,goal,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,fully disaggregated,,,,,23
2025,fully disaggregated,,r,,,28
2026,fully disaggregated,,,,,28
2024,partially disaggregated,,,,,23
2025,partially disaggregated,,r,,,24
2026,partially disaggregated,,,,,26
2024,not disaggregated,,,,,54
2025,not disaggregated,,r,,,48
2026,not disaggregated,,,,,46
2024,fully disaggregated,1 - no poverty,-,,,0
2025,fully disaggregated,1 - no poverty,-,,,0
2026,fully disaggregated,1 - no poverty,-,,,0
2024,partially disaggregated,1 - no poverty,,,,25
2025,partially disaggregated,1 - no poverty,,,,25
2026,partially disaggregated,1 - no poverty,,,,50
2024,not disaggregated,1 - no poverty,,,,75
2025,not disaggregated,1 - no poverty,,,,75
2026,not disaggregated,1 - no poverty,,,,50
2024,fully disaggregated,2 - zero hunger,,,,25
2025,fully disaggregated,2 - zero hunger,,,,20
2026,fully disaggregated,2 - zero hunger,,,,20
2024,partially disaggregated,2 - zero hunger,-,,,0
2025,partially disaggregated,2 - zero hunger,-,,,0
2026,partially disaggregated,2 - zero hunger,-,,,0
2024,not disaggregated,2 - zero hunger,,,,75
2025,not disaggregated,2 - zero hunger,,,,80
2026,not disaggregated,2 - zero hunger,,,,80
2024,fully disaggregated,3 - good health and well-being,-,,,0
2025,fully disaggregated,3 - good health and well-being,-,,,0
2026,fully disaggregated,3 - good health and well-being,-,,,0
2024,partially disaggregated,3 - good health and well-being,,,,100
2025,partially disaggregated,3 - good health and well-being,,,,100
2026,partially disaggregated,3 - good health and well-being,,,,100
2024,not disaggregated,3 - good health and well-being,-,,,0
2025,not disaggregated,3 - good health and well-being,-,,,0
2026,not disaggregated,3 - good health and well-being,-,,,0
2024,fully disaggregated,4 - quality education,,,,33
2025,fully disaggregated,4 - quality education,r,,,44
2026,fully disaggregated,4 - quality education,,,,44
2024,partially disaggregated,4 - quality education,-,,,0
2025,partially disaggregated,4 - quality education,-,,,0
2026,partially disaggregated,4 - quality education,-,,,0
2024,not disaggregated,4 - quality education,,,,67
2025,not disaggregated,4 - quality education,r,,,56
2026,not disaggregated,4 - quality education,,,,56
2024,fully disaggregated,5 - gender equality,-,,,0
2025,fully disaggregated,5 - gender equality,-,,,0
2026,fully disaggregated,5 - gender equality,-,,,0
