Year,Units,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments,‒,,,0.0
2011,million eur,commitments,‒,,,0.0
2012,million eur,commitments,‒,,,0.0
2013,million eur,commitments,‒,,,0.0
2014,million eur,commitments,‒,,,0.0
2015,million eur,commitments,‒,,,0.0
2016,million eur,commitments,r,,,14.3
2017,million eur,commitments,‒,,,0.0
2018,million eur,commitments,‒,,,0.0
2019,million eur,commitments,r,,,4.6
2020,million eur,commitments,r,‒,,0.0
2021,million eur,commitments,r,‒,,0.0
2022,million eur,commitments,r,‒,,0.0
2023,million eur,commitments,r,,,35.4
2024,million eur,commitments,,,,20.0
2010,million eur,gross disbursements,‒,,,0.0
2011,million eur,gross disbursements,‒,,,0.0
2012,million eur,gross disbursements,‒,,,0.0
2013,million eur,gross disbursements,‒,,,0.0
2014,million eur,gross disbursements,‒,,,0.0
2015,million eur,gross disbursements,‒,,,0.0
2016,million eur,gross disbursements,r,,,14.3
2017,million eur,gross disbursements,‒,,,0.0
2018,million eur,gross disbursements,‒,,,0.0
2019,million eur,gross disbursements,‒,,,0.0
2020,million eur,gross disbursements,r,,,32.2
2021,million eur,gross disbursements,r,,,0.5
2022,million eur,gross disbursements,r,,,0.3
2023,million eur,gross disbursements,r,,,35.9
2024,million eur,gross disbursements,,,,20.3
2010,"million usd, constant prices (2024)",commitments,‒,,,0.0
2011,"million usd, constant prices (2024)",commitments,‒,,,0.0
2012,"million usd, constant prices (2024)",commitments,‒,,,0.0
2013,"million usd, constant prices (2024)",commitments,‒,,,0.0
2014,"million usd, constant prices (2024)",commitments,‒,,,0.0
2015,"million usd, constant prices (2024)",commitments,‒,,,0.0
2016,"million usd, constant prices (2024)",commitments,r,,,12.6
2017,"million usd, constant prices (2024)",commitments,‒,,,0.0
2018,"million usd, constant prices (2024)",commitments,‒,,,0.0
2019,"million usd, constant prices (2024)",commitments,r,,,4.4
2020,"million usd, constant prices (2024)",commitments,r,‒,,0.0
2021,"million usd, constant prices (2024)",commitments,r,‒,,0.0
2022,"million usd, constant prices (2024)",commitments,r,‒,,0.0
2023,"million usd, constant prices (2024)",commitments,r,,,37.1
2024,"million usd, constant prices (2024)",commitments,,,,21.6
2010,"million usd, constant prices (2024)",gross disbursements,‒,,,0.0
2011,"million usd, constant prices (2024)",gross disbursements,‒,,,0.0
2012,"million usd, constant prices (2024)",gross disbursements,‒,,,0.0
2013,"million usd, constant prices (2024)",gross disbursements,‒,,,0.0
2014,"million usd, constant prices (2024)",gross disbursements,‒,,,0.0
2015,"million usd, constant prices (2024)",gross disbursements,‒,,,0.0
2016,"million usd, constant prices (2024)",gross disbursements,r,,,12.6
2017,"million usd, constant prices (2024)",gross disbursements,‒,,,0.0
2018,"million usd, constant prices (2024)",gross disbursements,‒,,,0.0
2019,"million usd, constant prices (2024)",gross disbursements,r,‒,,0.0
2020,"million usd, constant prices (2024)",gross disbursements,r,,,32.2
2021,"million usd, constant prices (2024)",gross disbursements,r,,,0.6
2022,"million usd, constant prices (2024)",gross disbursements,r,,,0.3
2023,"million usd, constant prices (2024)",gross disbursements,r,,,37.6
2024,"million usd, constant prices (2024)",gross disbursements,,,,21.9
