Year,Series,Value
2010,co₂ emissions per real gdp,352.4
2011,co₂ emissions per real gdp,329.5
2012,co₂ emissions per real gdp,330.2
2013,co₂ emissions per real gdp,337.3
2014,co₂ emissions per real gdp,314.5
2015,co₂ emissions per real gdp,311.2
2016,co₂ emissions per real gdp,305.8
2017,co₂ emissions per real gdp,292.0
2018,co₂ emissions per real gdp,277.7
2019,co₂ emissions per real gdp,257.6
2020,co₂ emissions per real gdp,244.7
2021,co₂ emissions per real gdp,250.0
2010,co₂ emissions per gross value added (price adjusted) in manufacturing industries,495.5
2011,co₂ emissions per gross value added (price adjusted) in manufacturing industries,450.9
2012,co₂ emissions per gross value added (price adjusted) in manufacturing industries,450.6
2013,co₂ emissions per gross value added (price adjusted) in manufacturing industries,451.6
2014,co₂ emissions per gross value added (price adjusted) in manufacturing industries,426.3
2015,co₂ emissions per gross value added (price adjusted) in manufacturing industries,435.3
2016,co₂ emissions per gross value added (price adjusted) in manufacturing industries,428.5
2017,co₂ emissions per gross value added (price adjusted) in manufacturing industries,423.3
2018,co₂ emissions per gross value added (price adjusted) in manufacturing industries,402.0
2019,co₂ emissions per gross value added (price adjusted) in manufacturing industries,398.1
2020,co₂ emissions per gross value added (price adjusted) in manufacturing industries,423.5
2021,co₂ emissions per gross value added (price adjusted) in manufacturing industries,425.9
