Year,timeseries,sex,Value
2010,fatal occupational accidents (per 100 000 employees),,1.2
2011,fatal occupational accidents (per 100 000 employees),,1.2
2012,fatal occupational accidents (per 100 000 employees),,1.2
2013,fatal occupational accidents (per 100 000 employees),,1.0
2014,fatal occupational accidents (per 100 000 employees),,1.2
2015,fatal occupational accidents (per 100 000 employees),,1.0
2016,fatal occupational accidents (per 100 000 employees),,1.0
2017,fatal occupational accidents (per 100 000 employees),,0.9
2018,fatal occupational accidents (per 100 000 employees),,0.8
2010,non-fatal occupational accidents (per 100 000 employees),,1976.1
2011,non-fatal occupational accidents (per 100 000 employees),,2058.3
2012,non-fatal occupational accidents (per 100 000 employees),,1956.3
2013,non-fatal occupational accidents (per 100 000 employees),,1900.0
2014,non-fatal occupational accidents (per 100 000 employees),,1977.3
2015,non-fatal occupational accidents (per 100 000 employees),,1930.6
2016,non-fatal occupational accidents (per 100 000 employees),,1950.9
2017,non-fatal occupational accidents (per 100 000 employees),,1819.6
2018,non-fatal occupational accidents (per 100 000 employees),,1721.6
2010,non-fatal occupational accidents (per 100 000 employees),female,1022.7
2011,non-fatal occupational accidents (per 100 000 employees),female,1004.4
2012,non-fatal occupational accidents (per 100 000 employees),female,998.3
2013,non-fatal occupational accidents (per 100 000 employees),female,1010.1
2014,non-fatal occupational accidents (per 100 000 employees),female,1098.4
2015,non-fatal occupational accidents (per 100 000 employees),female,1094.0
2016,non-fatal occupational accidents (per 100 000 employees),female,1097.3
2017,non-fatal occupational accidents (per 100 000 employees),female,987.7
2018,non-fatal occupational accidents (per 100 000 employees),female,920.1
2010,non-fatal occupational accidents (per 100 000 employees),male,2806.8
2011,non-fatal occupational accidents (per 100 000 employees),male,3015.8
2012,non-fatal occupational accidents (per 100 000 employees),male,2820.5
2013,non-fatal occupational accidents (per 100 000 employees),male,2718.5
2014,non-fatal occupational accidents (per 100 000 employees),male,2780.6
2015,non-fatal occupational accidents (per 100 000 employees),male,2694.4
2016,non-fatal occupational accidents (per 100 000 employees),male,2734.3
2017,non-fatal occupational accidents (per 100 000 employees),male,2578.2
2018,non-fatal occupational accidents (per 100 000 employees),male,2453.0
