Year,Units,sex,region,GeoCode,Series,Value
2010,eur/h,,,,average hourly earnings of employees,
2011,eur/h,,,,average hourly earnings of employees,
2012,eur/h,,,,average hourly earnings of employees,
2013,eur/h,,,,average hourly earnings of employees,
2014,eur/h,,,,average hourly earnings of employees,17.78
2015,eur/h,,,,average hourly earnings of employees,
2016,eur/h,,,,average hourly earnings of employees,
2017,eur/h,,,,average hourly earnings of employees,
2018,eur/h,,,,average hourly earnings of employees,19.66
2019,eur/h,,,,average hourly earnings of employees,
2020,eur/h,,,,average hourly earnings of employees,
2021,eur/h,,,,average hourly earnings of employees,
2010,eur/h,female,,,average hourly earnings of employees,14.62
2011,eur/h,female,,,average hourly earnings of employees,14.88
2012,eur/h,female,,,average hourly earnings of employees,15.18
2013,eur/h,female,,,average hourly earnings of employees,15.5
2014,eur/h,female,,,average hourly earnings of employees,15.44
2015,eur/h,female,,,average hourly earnings of employees,15.82
2016,eur/h,female,,,average hourly earnings of employees,16.3
2017,eur/h,female,,,average hourly earnings of employees,16.66
2018,eur/h,female,,,average hourly earnings of employees,17.33
2019,eur/h,female,,,average hourly earnings of employees,17.98
2020,eur/h,female,,,average hourly earnings of employees,
2021,eur/h,female,,,average hourly earnings of employees,
2010,eur/h,male,,,average hourly earnings of employees,18.81
2011,eur/h,male,,,average hourly earnings of employees,19.17
2012,eur/h,male,,,average hourly earnings of employees,19.63
2013,eur/h,male,,,average hourly earnings of employees,19.89
2014,eur/h,male,,,average hourly earnings of employees,19.87
2015,eur/h,male,,,average hourly earnings of employees,20.24
2016,eur/h,male,,,average hourly earnings of employees,20.67
2017,eur/h,male,,,average hourly earnings of employees,20.94
2018,eur/h,male,,,average hourly earnings of employees,21.7
2019,eur/h,male,,,average hourly earnings of employees,22.26
2020,eur/h,male,,,average hourly earnings of employees,
2021,eur/h,male,,,average hourly earnings of employees,
2010,%,,,,gender pay gap,22.0
2011,%,,,,gender pay gap,22.0
2012,%,,,,gender pay gap,23.0
2013,%,,,,gender pay gap,22.0
2014,%,,,,gender pay gap,22.0
2015,%,,,,gender pay gap,22.0
2016,%,,,,gender pay gap,21.0
2017,%,,,,gender pay gap,20.0
2018,%,,,,gender pay gap,20.0
2019,%,,,,gender pay gap,19.0
2020,%,,,,gender pay gap,18.0
2021,%,,,,gender pay gap,18.0
2010,%,,baden-wuerttemberg,code08,gender pay gap,27.0
2011,%,,baden-wuerttemberg,code08,gender pay gap,27.0
2012,%,,baden-wuerttemberg,code08,gender pay gap,27.0
2013,%,,baden-wuerttemberg,code08,gender pay gap,27.0
2014,%,,baden-wuerttemberg,code08,gender pay gap,27.0
2015,%,,baden-wuerttemberg,code08,gender pay gap,26.0
2016,%,,baden-wuerttemberg,code08,gender pay gap,26.0
2017,%,,baden-wuerttemberg,code08,gender pay gap,25.0
2018,%,,baden-wuerttemberg,code08,gender pay gap,24.0
2019,%,,baden-wuerttemberg,code08,gender pay gap,23.0
2020,%,,baden-wuerttemberg,code08,gender pay gap,23.0
2021,%,,baden-wuerttemberg,code08,gender pay gap,22.0
2010,%,,bavaria,code09,gender pay gap,26.0
2011,%,,bavaria,code09,gender pay gap,25.0
2012,%,,bavaria,code09,gender pay gap,25.0
2013,%,,bavaria,code09,gender pay gap,25.0
2014,%,,bavaria,code09,gender pay gap,25.0
2015,%,,bavaria,code09,gender pay gap,24.0
2016,%,,bavaria,code09,gender pay gap,24.0
2017,%,,bavaria,code09,gender pay gap,24.0
2018,%,,bavaria,code09,gender pay gap,24.0
2019,%,,bavaria,code09,gender pay gap,23.0
2020,%,,bavaria,code09,gender pay gap,22.0
2021,%,,bavaria,code09,gender pay gap,21.0
2010,%,,berlin,code11,gender pay gap,14.0
2011,%,,berlin,code11,gender pay gap,15.0
2012,%,,berlin,code11,gender pay gap,15.0
2013,%,,berlin,code11,gender pay gap,14.0
2014,%,,berlin,code11,gender pay gap,14.0
2015,%,,berlin,code11,gender pay gap,14.0
2016,%,,berlin,code11,gender pay gap,12.0
2017,%,,berlin,code11,gender pay gap,10.0
2018,%,,berlin,code11,gender pay gap,10.0
2019,%,,berlin,code11,gender pay gap,10.0
2020,%,,berlin,code11,gender pay gap,10.0
2021,%,,berlin,code11,gender pay gap,10.0
2010,%,,brandenburg,code12,gender pay gap,7.0
2011,%,,brandenburg,code12,gender pay gap,6.0
2012,%,,brandenburg,code12,gender pay gap,7.0
2013,%,,brandenburg,code12,gender pay gap,5.0
2014,%,,brandenburg,code12,gender pay gap,7.0
2015,%,,brandenburg,code12,gender pay gap,5.0
2016,%,,brandenburg,code12,gender pay gap,6.0
2017,%,,brandenburg,code12,gender pay gap,6.0
2018,%,,brandenburg,code12,gender pay gap,6.0
2019,%,,brandenburg,code12,gender pay gap,7.0
2020,%,,brandenburg,code12,gender pay gap,6.0
2021,%,,brandenburg,code12,gender pay gap,5.0
2010,%,,bremen,code04,gender pay gap,24.0
2011,%,,bremen,code04,gender pay gap,24.0
2012,%,,bremen,code04,gender pay gap,27.0
2013,%,,bremen,code04,gender pay gap,25.0
2014,%,,bremen,code04,gender pay gap,25.0
2015,%,,bremen,code04,gender pay gap,25.0
2016,%,,bremen,code04,gender pay gap,24.0
2017,%,,bremen,code04,gender pay gap,24.0
2018,%,,bremen,code04,gender pay gap,23.0
2019,%,,bremen,code04,gender pay gap,25.0
2020,%,,bremen,code04,gender pay gap,22.0
2021,%,,bremen,code04,gender pay gap,22.0
2010,%,,hamburg,code02,gender pay gap,23.0
2011,%,,hamburg,code02,gender pay gap,22.0
2012,%,,hamburg,code02,gender pay gap,24.0
2013,%,,hamburg,code02,gender pay gap,23.0
2014,%,,hamburg,code02,gender pay gap,22.0
2015,%,,hamburg,code02,gender pay gap,22.0
2016,%,,hamburg,code02,gender pay gap,21.0
2017,%,,hamburg,code02,gender pay gap,21.0
2018,%,,hamburg,code02,gender pay gap,21.0
2019,%,,hamburg,code02,gender pay gap,21.0
2020,%,,hamburg,code02,gender pay gap,21.0
2021,%,,hamburg,code02,gender pay gap,21.0
2010,%,,hesse,code06,gender pay gap,25.0
2011,%,,hesse,code06,gender pay gap,25.0
2012,%,,hesse,code06,gender pay gap,24.0
2013,%,,hesse,code06,gender pay gap,23.0
2014,%,,hesse,code06,gender pay gap,24.0
2015,%,,hesse,code06,gender pay gap,23.0
2016,%,,hesse,code06,gender pay gap,22.0
2017,%,,hesse,code06,gender pay gap,22.0
2018,%,,hesse,code06,gender pay gap,21.0
2019,%,,hesse,code06,gender pay gap,19.0
2020,%,,hesse,code06,gender pay gap,18.0
2021,%,,hesse,code06,gender pay gap,18.0
2010,%,,mecklenburg western pomerania,code13,gender pay gap,4.0
2011,%,,mecklenburg western pomerania,code13,gender pay gap,6.0
2012,%,,mecklenburg western pomerania,code13,gender pay gap,7.0
2013,%,,mecklenburg western pomerania,code13,gender pay gap,6.0
2014,%,,mecklenburg western pomerania,code13,gender pay gap,8.0
2015,%,,mecklenburg western pomerania,code13,gender pay gap,7.0
2016,%,,mecklenburg western pomerania,code13,gender pay gap,6.0
2017,%,,mecklenburg western pomerania,code13,gender pay gap,6.0
2018,%,,mecklenburg western pomerania,code13,gender pay gap,6.0
2019,%,,mecklenburg western pomerania,code13,gender pay gap,6.0
2020,%,,mecklenburg western pomerania,code13,gender pay gap,6.0
2021,%,,mecklenburg western pomerania,code13,gender pay gap,5.0
2010,%,,lower saxony,code03,gender pay gap,22.0
2011,%,,lower saxony,code03,gender pay gap,22.0
2012,%,,lower saxony,code03,gender pay gap,21.0
2013,%,,lower saxony,code03,gender pay gap,20.0
2014,%,,lower saxony,code03,gender pay gap,22.0
2015,%,,lower saxony,code03,gender pay gap,22.0
2016,%,,lower saxony,code03,gender pay gap,21.0
2017,%,,lower saxony,code03,gender pay gap,21.0
2018,%,,lower saxony,code03,gender pay gap,21.0
2019,%,,lower saxony,code03,gender pay gap,21.0
2020,%,,lower saxony,code03,gender pay gap,19.0
2021,%,,lower saxony,code03,gender pay gap,19.0
2010,%,,north rhine-westphalia,code05,gender pay gap,23.0
2011,%,,north rhine-westphalia,code05,gender pay gap,23.0
2012,%,,north rhine-westphalia,code05,gender pay gap,24.0
2013,%,,north rhine-westphalia,code05,gender pay gap,23.0
2014,%,,north rhine-westphalia,code05,gender pay gap,23.0
2015,%,,north rhine-westphalia,code05,gender pay gap,23.0
2016,%,,north rhine-westphalia,code05,gender pay gap,22.0
2017,%,,north rhine-westphalia,code05,gender pay gap,21.0
2018,%,,north rhine-westphalia,code05,gender pay gap,20.0
2019,%,,north rhine-westphalia,code05,gender pay gap,19.0
2020,%,,north rhine-westphalia,code05,gender pay gap,18.0
2021,%,,north rhine-westphalia,code05,gender pay gap,17.0
2010,%,,rhineland palatinate,code07,gender pay gap,22.0
2011,%,,rhineland palatinate,code07,gender pay gap,22.0
2012,%,,rhineland palatinate,code07,gender pay gap,22.0
2013,%,,rhineland palatinate,code07,gender pay gap,22.0
2014,%,,rhineland palatinate,code07,gender pay gap,21.0
2015,%,,rhineland palatinate,code07,gender pay gap,20.0
2016,%,,rhineland palatinate,code07,gender pay gap,20.0
2017,%,,rhineland palatinate,code07,gender pay gap,19.0
2018,%,,rhineland palatinate,code07,gender pay gap,18.0
2019,%,,rhineland palatinate,code07,gender pay gap,17.0
2020,%,,rhineland palatinate,code07,gender pay gap,15.0
2021,%,,rhineland palatinate,code07,gender pay gap,15.0
2010,%,,saarland,code10,gender pay gap,25.0
2011,%,,saarland,code10,gender pay gap,25.0
2012,%,,saarland,code10,gender pay gap,25.0
2013,%,,saarland,code10,gender pay gap,24.0
2014,%,,saarland,code10,gender pay gap,23.0
2015,%,,saarland,code10,gender pay gap,24.0
2016,%,,saarland,code10,gender pay gap,24.0
2017,%,,saarland,code10,gender pay gap,24.0
2018,%,,saarland,code10,gender pay gap,23.0
2019,%,,saarland,code10,gender pay gap,22.0
2020,%,,saarland,code10,gender pay gap,20.0
2021,%,,saarland,code10,gender pay gap,20.0
2010,%,,saxony,code14,gender pay gap,9.0
2011,%,,saxony,code14,gender pay gap,10.0
2012,%,,saxony,code14,gender pay gap,11.0
2013,%,,saxony,code14,gender pay gap,11.0
