Year,timeseries,Value
2010,a) branches of payment service providers (per 100 000 adults),56.7
2011,a) branches of payment service providers (per 100 000 adults),57.1
2012,a) branches of payment service providers (per 100 000 adults),54.8
2013,a) branches of payment service providers (per 100 000 adults),54.4
2014,a) branches of payment service providers (per 100 000 adults),52.9
2015,a) branches of payment service providers (per 100 000 adults),48.1
2016,a) branches of payment service providers (per 100 000 adults),44.9
2017,a) branches of payment service providers (per 100 000 adults),42.2
2018,a) branches of payment service providers (per 100 000 adults),39.0
2019,a) branches of payment service providers (per 100 000 adults),37.3
2020,a) branches of payment service providers (per 100 000 adults),33.7
2010,b) atms of national payment service providers (per 100 000 adults),116.5
2011,b) atms of national payment service providers (per 100 000 adults),121.1
2012,b) atms of national payment service providers (per 100 000 adults),118.5
2013,b) atms of national payment service providers (per 100 000 adults),118.3
2014,b) atms of national payment service providers (per 100 000 adults),123.4
2015,b) atms of national payment service providers (per 100 000 adults),122.3
2016,b) atms of national payment service providers (per 100 000 adults),132.3
2017,b) atms of national payment service providers (per 100 000 adults),132.9
2018,b) atms of national payment service providers (per 100 000 adults),134.4
2019,b) atms of national payment service providers (per 100 000 adults),122.0
2020,b) atms of national payment service providers (per 100 000 adults),122.4
