Year,type of disease,Value
2010,a) diarrhoea,3.68
2011,a) diarrhoea,5.7
2012,a) diarrhoea,6.89
2013,a) diarrhoea,7.1
2014,a) diarrhoea,6.34
2015,a) diarrhoea,7.02
2016,a) diarrhoea,5.75
2017,a) diarrhoea,5.42
2018,a) diarrhoea,5.08
2019,a) diarrhoea,4.25
2010,b) intestinal nematode infections,
2011,b) intestinal nematode infections,
2012,b) intestinal nematode infections,0.0
2013,b) intestinal nematode infections,
2014,b) intestinal nematode infections,
2015,b) intestinal nematode infections,
2016,b) intestinal nematode infections,
2017,b) intestinal nematode infections,
2018,b) intestinal nematode infections,
2019,b) intestinal nematode infections,
2010,c) protein-energy malnutrition,0.3
2011,c) protein-energy malnutrition,0.29
2012,c) protein-energy malnutrition,0.26
2013,c) protein-energy malnutrition,0.33
2014,c) protein-energy malnutrition,0.33
2015,c) protein-energy malnutrition,0.55
2016,c) protein-energy malnutrition,0.5
2017,c) protein-energy malnutrition,0.71
2018,c) protein-energy malnutrition,0.75
2019,c) protein-energy malnutrition,0.82
