Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,‒,,,at least one population and housing census in the last 10 years conducted,0
2011,,,,at least one population and housing census in the last 10 years conducted,1
2012,,,,at least one population and housing census in the last 10 years conducted,1
2013,,,,at least one population and housing census in the last 10 years conducted,1
2014,,,,at least one population and housing census in the last 10 years conducted,1
2015,,,,at least one population and housing census in the last 10 years conducted,1
2016,,,,at least one population and housing census in the last 10 years conducted,1
2017,,,,at least one population and housing census in the last 10 years conducted,1
2018,,,,at least one population and housing census in the last 10 years conducted,1
2019,,,,at least one population and housing census in the last 10 years conducted,1
2020,,,,at least one population and housing census in the last 10 years conducted,1
2021,‒,,,at least one population and housing census in the last 10 years conducted,0
2022,,,,at least one population and housing census in the last 10 years conducted,1
2023,,,,at least one population and housing census in the last 10 years conducted,1
2024,,,,at least one population and housing census in the last 10 years conducted,1
2025,,,,at least one population and housing census in the last 10 years conducted,1
2010,s,,,birth registration,1
2011,s,,,birth registration,1
2012,s,,,birth registration,1
2013,s,,,birth registration,1
2014,s,,,birth registration,1
2015,s,,,birth registration,1
2016,s,,,birth registration,1
2017,s,,,birth registration,1
2018,s,,,birth registration,1
2019,s,,,birth registration,1
2020,s,,,birth registration,1
2021,s,,,birth registration,1
2022,s,,,birth registration,1
2023,s,,,birth registration,1
2024,s,,,birth registration,1
2025,s,,,birth registration,1
2010,s,,,death registration,1
2011,s,,,death registration,1
2012,s,,,death registration,1
2013,s,,,death registration,1
2014,s,,,death registration,1
2015,s,,,death registration,1
2016,s,,,death registration,1
2017,s,,,death registration,1
2018,s,,,death registration,1
2019,s,,,death registration,1
2020,s,,,death registration,1
2021,s,,,death registration,1
2022,s,,,death registration,1
2023,s,,,death registration,1
2024,s,,,death registration,1
2025,s,,,death registration,1
