Year,Zeitreihe,Art der Erkrankung,Value
2010,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,720
2011,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,437
2012,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,740
2013,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,1011
2014,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,758
2015,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,882
2016,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,1139
2017,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,778
2018,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,789
2019,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,1327
2020,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,375
2021,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,,212
2010,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,595
2011,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,288
2012,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,616
2013,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,878
2014,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,625
2015,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,725
2016,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,956
2017,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,636
2018,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,613
2019,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,1176
2020,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,205
2021,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Dengue,60
2010,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,123
2011,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,147
