Year,Series,Value
2010,Erneuerbare Energien am gesamten Endenergieverbrauch,10.6
2011,Erneuerbare Energien am gesamten Endenergieverbrauch,11.5
2012,Erneuerbare Energien am gesamten Endenergieverbrauch,11.9
2013,Erneuerbare Energien am gesamten Endenergieverbrauch,12.0
2014,Erneuerbare Energien am gesamten Endenergieverbrauch,13.2
2015,Erneuerbare Energien am gesamten Endenergieverbrauch,14.0
2016,Erneuerbare Energien am gesamten Endenergieverbrauch,14.0
2017,Erneuerbare Energien am gesamten Endenergieverbrauch,14.9
2010,Erneuerbare Energien am Bruttoendenergieverbrauch,11.7
2011,Erneuerbare Energien am Bruttoendenergieverbrauch,12.5
2012,Erneuerbare Energien am Bruttoendenergieverbrauch,13.8
2013,Erneuerbare Energien am Bruttoendenergieverbrauch,13.8
2014,Erneuerbare Energien am Bruttoendenergieverbrauch,14.4
2015,Erneuerbare Energien am Bruttoendenergieverbrauch,14.9
2016,Erneuerbare Energien am Bruttoendenergieverbrauch,14.9
2017,Erneuerbare Energien am Bruttoendenergieverbrauch,15.5
2018,Erneuerbare Energien am Bruttoendenergieverbrauch,16.7
2019,Erneuerbare Energien am Bruttoendenergieverbrauch,17.3
2020,Erneuerbare Energien am Bruttoendenergieverbrauch,19.1
2021,Erneuerbare Energien am Bruttoendenergieverbrauch,19.4
2022,Erneuerbare Energien am Bruttoendenergieverbrauch,20.8
2023,Erneuerbare Energien am Bruttoendenergieverbrauch,22.0
