Year,Indikator,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2011,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2012,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2013,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2014,SDG-Indikator 4.2.2 (5 Jahre),,,,1.01
2015,SDG-Indikator 4.2.2 (5 Jahre),,,,1.01
2016,SDG-Indikator 4.2.2 (5 Jahre),,,,1.01
2017,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2018,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2019,SDG-Indikator 4.2.2 (5 Jahre),,,,1.01
2020,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2021,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2022,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2023,SDG-Indikator 4.2.2 (5 Jahre),,,,1.0
2010,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.02
2011,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.03
2012,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.02
2013,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.01
2014,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.01
2015,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.01
2016,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.01
2017,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.01
2018,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.025
2019,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.03
2020,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),|,,,1.02
2021,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.044
2022,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),,,,1.04
2023,SDG-Indikator 4.3.1 (15 bis unter 25 Jahre),p,,,1.05
2010,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.97
2011,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.96
2012,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.96
2013,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.96
2014,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.96
2015,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.96
2016,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.95
2017,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.95
2018,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.96
2019,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,0.98
2020,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),|,,,0.99
2021,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,1.01
2022,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),,,,1.03
2023,SDG-Indikator 4.3.1 (15 bis unter 65 Jahre),p,,,1.03
2010,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.95
2011,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.94
2012,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.951
2013,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.96
2014,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.96
2015,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.96
2016,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.95
2017,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.94
2018,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.95
2019,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,0.97
2020,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),|,,,0.98
2021,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,1.01
2022,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),,,,1.04
2023,SDG-Indikator 4.3.1 (25 bis unter 55 Jahre),p,,,1.04
2010,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,0.86
2011,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,0.86
2012,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,0.9
2013,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,0.92
2014,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,0.96
2015,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,0.96
2016,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,0.98
2017,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,1.0
2018,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,1.03
2019,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,1.034
2020,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),|,,,1.1
2021,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,1.07
2022,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),,,,1.11
2023,SDG-Indikator 4.3.1 (55 bis unter 65 Jahre),p,,,1.15
