Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,57.9
2011,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,57.0
2012,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,54.7
2013,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,54.4
2014,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,52.9
2015,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,48.1
2016,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,45.1
2017,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,42.5
2018,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,39.4
2019,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,37.7
2020,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,34.2
2021,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,33.2
2022,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,28.9
2023,a) Zweigstellen von Zahlungsverkehrsdienstleistern,r,,,27.5
2024,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,25.1
2025,a) Zweigstellen von Zahlungsverkehrsdienstleistern,,,,23.7
2010,b) Bankautomaten von inländischen Zahlungsdienstleistern,,,,118.9
2011,b) Bankautomaten von inländischen Zahlungsdienstleistern,,,,120.9
2012,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,118.4
2013,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,118.3
2014,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,123.4
2015,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,122.2
2016,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,133.0
2017,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,119.7
2018,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,121.1
2019,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,120.3
2020,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,118.3
2021,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,114.7
2022,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,110.4
2023,b) Bankautomaten von inländischen Zahlungsdienstleistern,r,,,106.5
2024,b) Bankautomaten von inländischen Zahlungsdienstleistern,,,,103.0
2025,b) Bankautomaten von inländischen Zahlungsdienstleistern,,,,99.5
