Year,Units,Herkunftsland,Value
2010,Prozent,,0.47
2011,Prozent,,0.47
2012,Prozent,,0.5
2013,Prozent,,0.51
2014,Prozent,,0.57
2015,Prozent,,0.67
2016,Prozent,,1.05
2017,Prozent,,1.39
2018,Prozent,,1.55
2019,Prozent,,1.64
2020,Prozent,,1.68
2010,Prozent,Afghanistan,0.03
2011,Prozent,Afghanistan,0.03
2012,Prozent,Afghanistan,0.03
2013,Prozent,Afghanistan,0.04
2014,Prozent,Afghanistan,0.04
2015,Prozent,Afghanistan,0.04
2016,Prozent,Afghanistan,0.06
2017,Prozent,Afghanistan,0.13
2018,Prozent,Afghanistan,0.16
2019,Prozent,Afghanistan,0.17
2020,Prozent,Afghanistan,0.18
2010,Prozent,Irak,0.05
2011,Prozent,Irak,0.05
2012,Prozent,Irak,0.05
2013,Prozent,Irak,0.05
2014,Prozent,Irak,0.06
2015,Prozent,Irak,0.07
2016,Prozent,Irak,0.1
2017,Prozent,Irak,0.15
2018,Prozent,Irak,0.17
2019,Prozent,Irak,0.17
2020,Prozent,Irak,0.17
2010,Prozent,Iran,0.02
2011,Prozent,Iran,0.02
2012,Prozent,Iran,0.02
2013,Prozent,Iran,0.02
2014,Prozent,Iran,0.03
2015,Prozent,Iran,0.03
2016,Prozent,Iran,0.03
2017,Prozent,Iran,0.05
2018,Prozent,Iran,0.05
2019,Prozent,Iran,0.05
2020,Prozent,Iran,0.05
2010,Prozent,Russische Föderation,0.04
2011,Prozent,Russische Föderation,0.05
2012,Prozent,Russische Föderation,0.05
2013,Prozent,Russische Föderation,0.04
2014,Prozent,Russische Föderation,0.05
2015,Prozent,Russische Föderation,0.04
2016,Prozent,Russische Föderation,0.04
2017,Prozent,Russische Föderation,0.05
2018,Prozent,Russische Föderation,0.05
2019,Prozent,Russische Föderation,0.05
2020,Prozent,Russische Föderation,0.05
2010,Prozent,Syrien,0.01
2011,Prozent,Syrien,0.01
2012,Prozent,Syrien,0.02
2013,Prozent,Syrien,0.03
2014,Prozent,Syrien,0.07
2015,Prozent,Syrien,0.14
2016,Prozent,Syrien,0.43
2017,Prozent,Syrien,0.57
2018,Prozent,Syrien,0.63
2019,Prozent,Syrien,0.68
2020,Prozent,Syrien,0.7
2010,Prozent,Türkei,0.05
2011,Prozent,Türkei,0.05
2012,Prozent,Türkei,0.05
2013,Prozent,Türkei,0.05
2014,Prozent,Türkei,0.05
2015,Prozent,Türkei,0.05
2016,Prozent,Türkei,0.05
2017,Prozent,Türkei,0.05
2018,Prozent,Türkei,0.05
2019,Prozent,Türkei,0.05
2020,Prozent,Türkei,0.06
2010,Anzahl,,382323.0
2011,Anzahl,,373874.0
2012,Anzahl,,399051.0
2013,Anzahl,,410568.0
2014,Anzahl,,460139.0
2015,Anzahl,,547934.0
2016,Anzahl,,867502.0
2017,Anzahl,,1154363.0
2018,Anzahl,,1283223.0
2019,Anzahl,,1360069.0
2020,Anzahl,,1397686.0
2010,Anzahl,Syrien,7814.0
2011,Anzahl,Syrien,7819.0
2012,Anzahl,Syrien,15861.0
2013,Anzahl,Syrien,25363.0
2014,Anzahl,Syrien,54756.0
2015,Anzahl,Syrien,117948.0
2016,Anzahl,Syrien,354719.0
2017,Anzahl,Syrien,476027.0
2018,Anzahl,Syrien,525665.0
2019,Anzahl,Syrien,561525.0
2020,Anzahl,Syrien,582644.0
2010,Anzahl,Afghanistan,24000.0
2011,Anzahl,Afghanistan,24725.0
2012,Anzahl,Afghanistan,26592.0
2013,Anzahl,Afghanistan,29634.0
2014,Anzahl,Afghanistan,33992.0
2015,Anzahl,Afghanistan,36877.0
2016,Anzahl,Afghanistan,51077.0
2017,Anzahl,Afghanistan,104944.0
2018,Anzahl,Afghanistan,130547.0
2019,Anzahl,Afghanistan,143873.0
2020,Anzahl,Afghanistan,149972.0
2010,Anzahl,Irak,42454.0
2011,Anzahl,Irak,41668.0
2012,Anzahl,Irak,43065.0
2013,Anzahl,Irak,44278.0
2014,Anzahl,Irak,45945.0
2015,Anzahl,Irak,55262.0
2016,Anzahl,Irak,83349.0
2017,Anzahl,Irak,127275.0
2018,Anzahl,Irak,137506.0
2019,Anzahl,Irak,140244.0
2020,Anzahl,Irak,141464.0
2010,Anzahl,Iran,14960.0
2011,Anzahl,Iran,15649.0
2012,Anzahl,Iran,17224.0
2013,Anzahl,Iran,18762.0
2014,Anzahl,Iran,20875.0
2015,Anzahl,Iran,21855.0
2016,Anzahl,Iran,24544.0
2017,Anzahl,Iran,38065.0
2018,Anzahl,Iran,42597.0
2019,Anzahl,Iran,44107.0
2020,Anzahl,Iran,43282.0
2010,Anzahl,Türkei,44402.0
2011,Anzahl,Türkei,42507.0
2012,Anzahl,Türkei,42827.0
2013,Anzahl,Türkei,41688.0
2014,Anzahl,Türkei,40523.0
2015,Anzahl,Türkei,39171.0
2016,Anzahl,Türkei,38007.0
2017,Anzahl,Türkei,38589.0
2018,Anzahl,Türkei,41270.0
2019,Anzahl,Türkei,45043.0
2020,Anzahl,Türkei,48825.0
2010,Anzahl,Russische Föderation,36189.0
2011,Anzahl,Russische Föderation,36556.0
2012,Anzahl,Russische Föderation,36633.0
2013,Anzahl,Russische Föderation,36334.0
2014,Anzahl,Russische Föderation,36599.0
2015,Anzahl,Russische Föderation,36682.0
2016,Anzahl,Russische Föderation,36561.0
2017,Anzahl,Russische Föderation,37365.0
2018,Anzahl,Russische Föderation,38466.0
2019,Anzahl,Russische Föderation,39300.0
2020,Anzahl,Russische Föderation,39344.0
