Year,Zeitreihe,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,DTP-Impfquote zum Schuleintritt,,,,,95.2
2011,DTP-Impfquote zum Schuleintritt,,,,,95.6
2012,DTP-Impfquote zum Schuleintritt,,,,,95.8
2013,DTP-Impfquote zum Schuleintritt,,,,,96.2
2014,DTP-Impfquote zum Schuleintritt,,,,,95.7
2015,DTP-Impfquote zum Schuleintritt,,,,,95.2
2016,DTP-Impfquote zum Schuleintritt,,,,,94.5
2017,DTP-Impfquote zum Schuleintritt,,,,,93.5
2018,DTP-Impfquote zum Schuleintritt,,,,,93.0
2019,DTP-Impfquote zum Schuleintritt,,,,,92.7
2020,DTP-Impfquote zum Schuleintritt,,r,,,92.4
2021,DTP-Impfquote zum Schuleintritt,,.,,,
2022,DTP-Impfquote zum Schuleintritt,,.,,,
2023,DTP-Impfquote zum Schuleintritt,,…,,,
2010,Masern-Impfquote zum Schuleintritt,,,,,91.5
2011,Masern-Impfquote zum Schuleintritt,,,,,92.1
2012,Masern-Impfquote zum Schuleintritt,,,,,92.4
2013,Masern-Impfquote zum Schuleintritt,,,,,92.6
2014,Masern-Impfquote zum Schuleintritt,,,,,92.8
2015,Masern-Impfquote zum Schuleintritt,,,,,92.8
2016,Masern-Impfquote zum Schuleintritt,,,,,92.9
2017,Masern-Impfquote zum Schuleintritt,,,,,92.8
2018,Masern-Impfquote zum Schuleintritt,,,,,93.1
2019,Masern-Impfquote zum Schuleintritt,,,,,92.7
2020,Masern-Impfquote zum Schuleintritt,,,,,93.2
2021,Masern-Impfquote zum Schuleintritt,,.,,,
2022,Masern-Impfquote zum Schuleintritt,,.,,,
2023,Masern-Impfquote zum Schuleintritt,,…,,,
2010,Pneumokokken-Impfquote zum Schuleintritt,,,,,15.2
2011,Pneumokokken-Impfquote zum Schuleintritt,,,,,41.0
2012,Pneumokokken-Impfquote zum Schuleintritt,,,,,68.3
2013,Pneumokokken-Impfquote zum Schuleintritt,,,,,84.5
2014,Pneumokokken-Impfquote zum Schuleintritt,,,,,85.3
2015,Pneumokokken-Impfquote zum Schuleintritt,,,,,86.1
2016,Pneumokokken-Impfquote zum Schuleintritt,,,,,84.4
2017,Pneumokokken-Impfquote zum Schuleintritt,,,,,83.8
2018,Pneumokokken-Impfquote zum Schuleintritt,,,,,83.1
2019,Pneumokokken-Impfquote zum Schuleintritt,,,,,83.4
2020,Pneumokokken-Impfquote zum Schuleintritt,,,,,82.2
2021,Pneumokokken-Impfquote zum Schuleintritt,,.,,,
2022,Pneumokokken-Impfquote zum Schuleintritt,,.,,,
2023,Pneumokokken-Impfquote zum Schuleintritt,,…,,,
2010,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,.,,,
2011,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,27.2
2012,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,27.2
2013,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,29.3
2014,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,31.3
2015,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,33.4
2016,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,36.6
2017,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,40.0
2018,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,43.0
2019,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,47.2
2020,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,51.0
2021,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,53.4
2022,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,54.4
2023,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Weiblich,,,,54.6
2010,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,.,,,
2011,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,.,,,
2012,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,.,,,
2013,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,.,,,
2014,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,.,,,
2015,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,.,,,
2016,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,.,,,
2017,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,.,,,
2018,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,,,,0.9
2019,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,,,,5.1
2020,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,,,,17.0
2021,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,,,,26.2
2022,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,,,,30.8
2023,HPV-Impfquoten bei 15-jährigen Mädchen und Jungen,Männlich,,,,34.0
