Year,Rechtsgebiet,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,,,,70
2020,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,,,,70
2022,Bereich 1: Übergreifende rechtliche Rahmenbedingungen und das öffentliche Leben,|,,,70
2018,Bereich 2: Gewalt gegen Frauen,,,,83
2020,Bereich 2: Gewalt gegen Frauen,,,,83
2022,Bereich 2: Gewalt gegen Frauen,|,,,100
2018,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,,,,100
2020,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,,,,100
2022,Bereich 3: Erwerbstätigkeit und wirtschaftlicher Nutzen,|,,,100
2018,Bereich 4: Ehe und Familie,,,,100
2020,Bereich 4: Ehe und Familie,,,,100
2022,Bereich 4: Ehe und Familie,|,,,100
