Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,‒,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,0
2011,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2012,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2013,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2014,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2015,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2016,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2017,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2018,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2019,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2020,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2021,‒,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,0
2022,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2023,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2024,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2025,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2026,,,,Durchführung mindestens einer Bevölkerungs- und Wohnungszählung in den letzten 10 Jahren,1
2010,,,,Registrierung von Geburten,1
2011,,,,Registrierung von Geburten,1
2012,,,,Registrierung von Geburten,1
2013,,,,Registrierung von Geburten,1
2014,,,,Registrierung von Geburten,1
2015,,,,Registrierung von Geburten,1
2016,,,,Registrierung von Geburten,1
2017,,,,Registrierung von Geburten,1
2018,,,,Registrierung von Geburten,1
2019,,,,Registrierung von Geburten,1
2020,,,,Registrierung von Geburten,1
2021,,,,Registrierung von Geburten,1
2022,,,,Registrierung von Geburten,1
2023,,,,Registrierung von Geburten,1
2024,,,,Registrierung von Geburten,1
2025,,,,Registrierung von Geburten,1
2026,,,,Registrierung von Geburten,1
2010,,,,Registrierung von Sterbefällen,1
2011,,,,Registrierung von Sterbefällen,1
2012,,,,Registrierung von Sterbefällen,1
2013,,,,Registrierung von Sterbefällen,1
2014,,,,Registrierung von Sterbefällen,1
2015,,,,Registrierung von Sterbefällen,1
2016,,,,Registrierung von Sterbefällen,1
2017,,,,Registrierung von Sterbefällen,1
2018,,,,Registrierung von Sterbefällen,1
2019,,,,Registrierung von Sterbefällen,1
2020,,,,Registrierung von Sterbefällen,1
2021,,,,Registrierung von Sterbefällen,1
2022,,,,Registrierung von Sterbefällen,1
2023,,,,Registrierung von Sterbefällen,1
2024,,,,Registrierung von Sterbefällen,1
2025,,,,Registrierung von Sterbefällen,1
2026,,,,Registrierung von Sterbefällen,1
