Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2626.5
2011,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2524.3
2012,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2254.5
2013,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2648.3
2014,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,3458.8
2015,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,4346.0
2016,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,3736.1
2017,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,3736.6
2018,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,3850.8
2019,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,4099.2
2020,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,4230.2
2021,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,4040.7
2022,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,4862.6
2023,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,4012.5
2010,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,1927.2
2011,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,1808.9
2012,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,1488.2
2013,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,2046.5
2014,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,2918.9
2015,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,3768.4
2016,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,3304.0
2017,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,3048.7
2018,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,3016.5
2019,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,3309.2
2020,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,3632.4
2021,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,3403.5
2022,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,4217.9
2023,Millionen EUR,Bruttoentwicklungsausgaben (ODA),,,,3936.8
2010,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,3876.5
2011,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,3680.6
2012,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,3240.5
2013,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,3732.2
2014,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,4783.7
2015,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,5911.3
2016,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,5018.2
2017,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,4946.1
2018,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,5004.0
2019,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,5221.9
2020,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,5295.6
2021,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,4920.6
2022,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,5580.9
2023,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,4338.8
2010,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,2844.5
2011,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,2637.4
2012,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,2139.0
2013,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,2884.1
2014,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,4036.9
2015,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,5125.6
2016,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,4437.9
2017,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,4035.6
2018,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,3919.8
2019,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,4215.5
2020,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,4547.2
2021,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,4144.6
2022,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,4841.1
2023,"Millionen USD, konstante Preise (2023)",Bruttoentwicklungsausgaben (ODA),,,,4256.9
