Year,Units,Zeitreihe,Geschlecht,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,,,,2.7
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,,,,3.0
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,|,,,2.0
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,,…,,,
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,,,,1.5
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,,,,2.0
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,|,,,1.3
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Weiblich,,…,,,
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,,,,4.0
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,,,,4.0
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,|,,,2.8
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",Männlich,,…,,,
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,,,,10.1
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,,,,10.4
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,|,,,4.6
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,16 bis unter 25 Jahre,…,,,
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,,,,0.4
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,,,,4.6
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,|,,,3.5
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,25 bis unter 35 Jahre,…,,,
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,,,,2.4
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,,,,2.8
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,|,,,2.0
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,35 bis unter 45 Jahre,…,,,
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,,,,1.9
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,,,,2.3
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,|,,,1.4
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,45 bis unter 55 Jahre,…,,,
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,,,,0.6
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,,,,1.4
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,|,,,1.2
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,55 bis unter 65 Jahre,…,,,
