Year,Zeitreihe,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Tabakkonsum,,.,,,
2011,Tabakkonsum,,.,,,
2012,Tabakkonsum,,.,,,
2013,Tabakkonsum,,,,,24.5
2014,Tabakkonsum,,.,,,
2015,Tabakkonsum,,.,,,
2016,Tabakkonsum,,.,,,
2017,Tabakkonsum,,,,,22.4
2018,Tabakkonsum,,.,,,
2019,Tabakkonsum,,.,,,
2020,Tabakkonsum,,.,,,
2021,Tabakkonsum,,,,,18.9
2022,Tabakkonsum,,.,,,
2023,Tabakkonsum,,.,,,
2024,Tabakkonsum,,.,,,
2025,Tabakkonsum,,,,,19.1
2010,Tabakkonsum,Weiblich,.,,,
2011,Tabakkonsum,Weiblich,.,,,
2012,Tabakkonsum,Weiblich,.,,,
2013,Tabakkonsum,Weiblich,,,,20.3
2014,Tabakkonsum,Weiblich,.,,,
2015,Tabakkonsum,Weiblich,.,,,
2016,Tabakkonsum,Weiblich,.,,,
2017,Tabakkonsum,Weiblich,,,,18.6
2018,Tabakkonsum,Weiblich,.,,,
2019,Tabakkonsum,Weiblich,.,,,
2020,Tabakkonsum,Weiblich,.,,,
2021,Tabakkonsum,Weiblich,,,,15.7
2022,Tabakkonsum,Weiblich,.,,,
2023,Tabakkonsum,Weiblich,.,,,
2024,Tabakkonsum,Weiblich,.,,,
2025,Tabakkonsum,Weiblich,,,,15.8
2010,Tabakkonsum,Männlich,.,,,
2011,Tabakkonsum,Männlich,.,,,
2012,Tabakkonsum,Männlich,.,,,
2013,Tabakkonsum,Männlich,,,,29.0
2014,Tabakkonsum,Männlich,.,,,
2015,Tabakkonsum,Männlich,.,,,
2016,Tabakkonsum,Männlich,.,,,
2017,Tabakkonsum,Männlich,,,,26.4
2018,Tabakkonsum,Männlich,.,,,
2019,Tabakkonsum,Männlich,.,,,
2020,Tabakkonsum,Männlich,.,,,
2021,Tabakkonsum,Männlich,,,,22.3
2022,Tabakkonsum,Männlich,.,,,
2023,Tabakkonsum,Männlich,.,,,
2024,Tabakkonsum,Männlich,.,,,
2025,Tabakkonsum,Männlich,,,,22.4
2010,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2011,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2012,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2013,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,,,,27.6
2014,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2015,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2016,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2017,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,,,,24.4
2018,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2019,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2020,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,.,,,
2021,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,,,,20.2
2022,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,…,,,
2023,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,…,,,
2024,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,…,,,
2025,Tabakkonsum (altersstandardisiert auf die WHO-Standardbevölkerung),,…,,,
