Year,Zeitreihe,Geschlecht,Value
2010,Tödliche Arbeitsunfälle,,1.2
2011,Tödliche Arbeitsunfälle,,1.2
2012,Tödliche Arbeitsunfälle,,1.2
2013,Tödliche Arbeitsunfälle,,1.0
2014,Tödliche Arbeitsunfälle,,1.2
2015,Tödliche Arbeitsunfälle,,1.0
2016,Tödliche Arbeitsunfälle,,1.0
2017,Tödliche Arbeitsunfälle,,0.9
2018,Tödliche Arbeitsunfälle,,0.8
2019,Tödliche Arbeitsunfälle,,0.8
2010,Nicht-tödliche Arbeitsunfälle,,1976.1
2011,Nicht-tödliche Arbeitsunfälle,,2058.3
2012,Nicht-tödliche Arbeitsunfälle,,1956.3
2013,Nicht-tödliche Arbeitsunfälle,,1900.0
2014,Nicht-tödliche Arbeitsunfälle,,1977.3
2015,Nicht-tödliche Arbeitsunfälle,,1930.6
2016,Nicht-tödliche Arbeitsunfälle,,1950.9
2017,Nicht-tödliche Arbeitsunfälle,,1819.6
2018,Nicht-tödliche Arbeitsunfälle,,1721.6
2019,Nicht-tödliche Arbeitsunfälle,,1650.8
2010,Nicht-tödliche Arbeitsunfälle,Weiblich,1022.7
2011,Nicht-tödliche Arbeitsunfälle,Weiblich,1004.4
2012,Nicht-tödliche Arbeitsunfälle,Weiblich,998.3
2013,Nicht-tödliche Arbeitsunfälle,Weiblich,1010.1
2014,Nicht-tödliche Arbeitsunfälle,Weiblich,1098.4
2015,Nicht-tödliche Arbeitsunfälle,Weiblich,1094.0
2016,Nicht-tödliche Arbeitsunfälle,Weiblich,1097.3
2017,Nicht-tödliche Arbeitsunfälle,Weiblich,987.7
2018,Nicht-tödliche Arbeitsunfälle,Weiblich,920.1
2019,Nicht-tödliche Arbeitsunfälle,Weiblich,905.1
2010,Nicht-tödliche Arbeitsunfälle,Männlich,2806.8
2011,Nicht-tödliche Arbeitsunfälle,Männlich,3015.8
2012,Nicht-tödliche Arbeitsunfälle,Männlich,2820.5
2013,Nicht-tödliche Arbeitsunfälle,Männlich,2718.5
2014,Nicht-tödliche Arbeitsunfälle,Männlich,2780.6
2015,Nicht-tödliche Arbeitsunfälle,Männlich,2694.4
2016,Nicht-tödliche Arbeitsunfälle,Männlich,2734.3
2017,Nicht-tödliche Arbeitsunfälle,Männlich,2578.2
2018,Nicht-tödliche Arbeitsunfälle,Männlich,2453.0
2019,Nicht-tödliche Arbeitsunfälle,Männlich,2332.3
