Year,Zeitreihe,Value
2010,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung,0.6
2011,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung,1.8
2012,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung,1.5
2013,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung,3.3
2014,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung,3.9
2015,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung,6.5
2016,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung,4.2
2017,Wachstumsrate des Einkommens der ärmsten 40 Prozent der Bevölkerung,3.3
2010,Wachstumsrate des Einkommens der gesamten Bevölkerung,0.2
2011,Wachstumsrate des Einkommens der gesamten Bevölkerung,1.8
2012,Wachstumsrate des Einkommens der gesamten Bevölkerung,0.4
2013,Wachstumsrate des Einkommens der gesamten Bevölkerung,1.0
2014,Wachstumsrate des Einkommens der gesamten Bevölkerung,0.3
2015,Wachstumsrate des Einkommens der gesamten Bevölkerung,4.5
2016,Wachstumsrate des Einkommens der gesamten Bevölkerung,2.8
2017,Wachstumsrate des Einkommens der gesamten Bevölkerung,2.0
