Year,Art der Gewalt,Geschlecht,Altersklasse,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,a) Physische Gewalt,,,,,,,,31.3
2020,a) Physische Gewalt,Weiblich,,,,,,,18.6
2020,a) Physische Gewalt,Männlich,,,,,,,39.7
2020,a) Physische Gewalt,,16 bis unter 25 Jahre,,,,,,19.5
2020,a) Physische Gewalt,,25 bis unter 35 Jahre,,,,,,33.0
2020,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,,,40.3
2020,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,,,37.6
2020,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,,,32.2
2020,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,,,81.8
2020,a) Physische Gewalt,,75 Jahre und älter,,,,,,52.7
2012,a) Physische Gewalt,,,Körperverletzung,,,,,32.9
2017,a) Physische Gewalt,,,Körperverletzung,,,,,36.6
2020,a) Physische Gewalt,,,Körperverletzung,,|,,,33.5
2012,a) Physische Gewalt,Weiblich,,Körperverletzung,,,,,34.1
2017,a) Physische Gewalt,Weiblich,,Körperverletzung,,,,,40.0
2020,a) Physische Gewalt,Weiblich,,Körperverletzung,,|,,,21.3
2012,a) Physische Gewalt,Männlich,,Körperverletzung,,,,,32.3
2017,a) Physische Gewalt,Männlich,,Körperverletzung,,,,,34.6
2020,a) Physische Gewalt,Männlich,,Körperverletzung,,|,,,40.3
2012,a) Physische Gewalt,,,Raub,,,,,33.6
2017,a) Physische Gewalt,,,Raub,,,,,32.0
2020,a) Physische Gewalt,,,Raub,,|,,,24.0
2012,a) Physische Gewalt,Weiblich,,Raub,,,,,42.8
2017,a) Physische Gewalt,Weiblich,,Raub,,,,,38.8
2020,a) Physische Gewalt,Weiblich,,Raub,,|,,,13.1
2012,a) Physische Gewalt,Männlich,,Raub,,,,,28.3
2017,a) Physische Gewalt,Männlich,,Raub,,,,,27.3
2020,a) Physische Gewalt,Männlich,,Raub,,|,,,37.2
2020,b) Psychische Gewalt,,,,,,,,3.6
2020,b) Psychische Gewalt,Weiblich,,,,,,,5.2
2020,b) Psychische Gewalt,Männlich,,,,,,,2.8
2020,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,,,1.9
2020,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,,,3.6
2020,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,,,1.3
2020,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,,,5.6
2020,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,,,4.6
2020,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,,,26.0
2020,b) Psychische Gewalt,,75 Jahre und älter,,,,,,59.0
2020,c) Sexuelle Gewalt,,,,,,,,2.4
2020,c) Sexuelle Gewalt,Weiblich,,,,,,,2.1
2020,c) Sexuelle Gewalt,Männlich,,,,,,,12.6
2020,c) Sexuelle Gewalt,,16 bis unter 25 Jahre,,,,,,1.8
2020,c) Sexuelle Gewalt,,25 bis unter 35 Jahre,,,,,,1.4
2020,c) Sexuelle Gewalt,,35 bis unter 45 Jahre,,,,,,5.6
2020,c) Sexuelle Gewalt,,45 bis unter 55 Jahre,,,,,,1.9
2020,c) Sexuelle Gewalt,,55 bis unter 65 Jahre,,,,,,0.6
2020,c) Sexuelle Gewalt,,,,Körperliche sexuelle Belästigung,,,,2.2
2020,c) Sexuelle Gewalt,Weiblich,,,Körperliche sexuelle Belästigung,,,,1.8
2020,c) Sexuelle Gewalt,Männlich,,,Körperliche sexuelle Belästigung,,,,12.6
