Year,Themenbereich,Verstädterungsgrad,Geschlecht,Series,Value
2010,Wohnverhältnisse,Städte,,Überbelegungsquote,9.6
2011,Wohnverhältnisse,Städte,,Überbelegungsquote,9.5
2012,Wohnverhältnisse,Städte,,Überbelegungsquote,10.8
2013,Wohnverhältnisse,Städte,,Überbelegungsquote,10.4
2014,Wohnverhältnisse,Städte,,Überbelegungsquote,9.9
2015,Wohnverhältnisse,Städte,,Überbelegungsquote,10.5
2016,Wohnverhältnisse,Städte,,Überbelegungsquote,11.0
2017,Wohnverhältnisse,Städte,,Überbelegungsquote,11.4
2018,Wohnverhältnisse,Städte,,Überbelegungsquote,11.5
2019,Wohnverhältnisse,Städte,,Überbelegungsquote,12.7
2020,Wohnverhältnisse,Städte,,Überbelegungsquote,15.0
2010,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,4.7
2011,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,4.1
2012,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,4.8
2013,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,5.2
2014,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,5.2
2015,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,5.6
2016,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,5.9
2017,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,5.3
2018,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,5.5
2019,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,5.5
2020,Wohnverhältnisse,Kleinere Städte und Vororte,,Überbelegungsquote,8.0
2010,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,4.7
2011,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,4.1
2012,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,3.7
