Year,Zeitreihe,Value
2010,Bruttoentwicklungsausgaben für Wasser und Sanitär,591.9
2011,Bruttoentwicklungsausgaben für Wasser und Sanitär,678.8
2012,Bruttoentwicklungsausgaben für Wasser und Sanitär,589.6
2013,Bruttoentwicklungsausgaben für Wasser und Sanitär,643.3
2014,Bruttoentwicklungsausgaben für Wasser und Sanitär,855.6
2015,Bruttoentwicklungsausgaben für Wasser und Sanitär,927.4
2016,Bruttoentwicklungsausgaben für Wasser und Sanitär,923.3
2017,Bruttoentwicklungsausgaben für Wasser und Sanitär,932.9
2010,Bruttoentwicklungsausgaben für verwandte Zwecke,52.6
2011,Bruttoentwicklungsausgaben für verwandte Zwecke,97.8
2012,Bruttoentwicklungsausgaben für verwandte Zwecke,71.9
2013,Bruttoentwicklungsausgaben für verwandte Zwecke,64.5
2014,Bruttoentwicklungsausgaben für verwandte Zwecke,65.1
2015,Bruttoentwicklungsausgaben für verwandte Zwecke,28.1
2016,Bruttoentwicklungsausgaben für verwandte Zwecke,25.0
2017,Bruttoentwicklungsausgaben für verwandte Zwecke,16.8
