Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Arten- und Landschaftsschutz (COFOG 5.4),r,,,13.3
2011,Arten- und Landschaftsschutz (COFOG 5.4),,,,15.0
2012,Arten- und Landschaftsschutz (COFOG 5.4),,,,15.3
2013,Arten- und Landschaftsschutz (COFOG 5.4),,,,15.9
2014,Arten- und Landschaftsschutz (COFOG 5.4),,,,17.4
2015,Arten- und Landschaftsschutz (COFOG 5.4),r,,,17.6
2016,Arten- und Landschaftsschutz (COFOG 5.4),,,,18.2
2017,Arten- und Landschaftsschutz (COFOG 5.4),r,,,19.5
2018,Arten- und Landschaftsschutz (COFOG 5.4),,,,19.5
2019,Arten- und Landschaftsschutz (COFOG 5.4),,,,21.1
2020,Arten- und Landschaftsschutz (COFOG 5.4),,,,20.9
2021,Arten- und Landschaftsschutz (COFOG 5.4),,,,22.2
2022,Arten- und Landschaftsschutz (COFOG 5.4),,,,23.2
2023,Arten- und Landschaftsschutz (COFOG 5.4),p,,,28.7
2024,Arten- und Landschaftsschutz (COFOG 5.4),p,,,30.1
2025,Arten- und Landschaftsschutz (COFOG 5.4),p,,,30.9
2010,Kultur (COFOG 8.2),r,,,119.9
2011,Kultur (COFOG 8.2),r,,,129.8
2012,Kultur (COFOG 8.2),r,,,129.5
2013,Kultur (COFOG 8.2),r,,,134.5
2014,Kultur (COFOG 8.2),r,,,141.6
2015,Kultur (COFOG 8.2),r,,,141.6
2016,Kultur (COFOG 8.2),r,,,144.2
2017,Kultur (COFOG 8.2),r,,,151.1
2018,Kultur (COFOG 8.2),r,,,155.6
2019,Kultur (COFOG 8.2),,,,166.5
2020,Kultur (COFOG 8.2),r,,,172.3
2021,Kultur (COFOG 8.2),r,,,167.4
2022,Kultur (COFOG 8.2),,,,182.7
2023,Kultur (COFOG 8.2),p,,,194.2
2024,Kultur (COFOG 8.2),p,,,216.4
2025,Kultur (COFOG 8.2),p,,,223.8
