Year,Antimikrobiell-resistente Organismen,Datenquelle,Value
2010,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2011,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2012,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2013,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2014,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2015,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2016,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2017,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2018,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),12.18
2019,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Weltgesundheitsorganisation (WHO),
2010,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2011,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2012,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2013,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2014,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2015,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2016,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2017,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2018,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),7.56
2019,Methicillin-resistente Staphylococcus aureus (MRSA),Weltgesundheitsorganisation (WHO),
2010,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),8.35820895
2011,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),7.96265788
2012,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),8.83898709
2013,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),10.74039362
2014,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),10.53474223
2015,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),10.29786291
2016,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),11.09947643
2017,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),12.28139037
2018,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),12.19700759
2019,Escherichia coli mit Resistenz gegenüber 3. Generations-Cephalosporinen (z. B. ESBL- E. coli),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),11.50642805
2010,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),20.9090909
2011,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),16.08040201
2012,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),15.37261022
2013,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),12.81969309
2014,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),12.90527654
2015,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),11.25498007
2016,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),10.17636326
2017,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),9.07982937
2018,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),7.66907199
2019,Methicillin-resistente Staphylococcus aureus (MRSA),Europäisches Zentrum für die Prävention und die Kontrolle von Krankheiten (ECDC),6.71129707
