Year,Units,Zeitreihe,Darstellung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,x,,,
2011,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,6.845
2012,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,r,,,3.443
2013,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,r,,,2.542
2014,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,r,,,1.491
2015,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,r,,,0.338
2016,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,|,r,,1.596
2017,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,r,,,2.868
2018,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,r,,,5.643
2019,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,r,,,351.775
2020,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,x,,,
2021,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,x,r,,
2022,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,r,,,0.218
2023,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,1.099
2024,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,,,,2.719
2025,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Jährliche Werte,…,,,
2010,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,99.094
2011,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,99.856
2012,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,100.203
2013,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,100.489
2014,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,100.69
2015,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,100.0
2016,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,|,,,100.142
2017,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,100.473
2018,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,100.997
2019,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,101.329
2020,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,101.952
2021,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,102.515
2022,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,101.377
2023,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,101.416
2024,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,r,,,101.669
2025,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Jährliche Werte,…,,,
2010,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.591
2011,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.902
2012,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.489
2013,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.473
2014,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.612
2015,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.351
2016,Prozent,Flächennutzungssrate,Jährliche Werte,|,,,0.382
2017,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.509
2018,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.634
2019,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.33
2020,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.426
2021,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.419
2022,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.312
2023,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.445
2024,Prozent,Flächennutzungssrate,Jährliche Werte,,,,0.394
2025,Prozent,Flächennutzungssrate,Jährliche Werte,…,,,
2010,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,-0.154
2011,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.132
2012,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,0.142
2013,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,0.186
2014,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,0.411
2015,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,1.039
2016,Prozent,Bevölkerungsentwicklung,Jährliche Werte,|,r,,0.24
2017,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,0.177
2018,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,0.112
2019,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,0.001
2020,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,-0.188
2021,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,-0.133
2022,Prozent,Bevölkerungsentwicklung,Jährliche Werte,r,,,1.428
2023,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.405
2024,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,0.145
