Year,Units,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,,,,,,4.7
2011,Je 100 000 Einwohner/-innen,,,,,,5.23
2012,Je 100 000 Einwohner/-innen,,,,,,4.79
2013,Je 100 000 Einwohner/-innen,,,,,,4.32
2014,Je 100 000 Einwohner/-innen,,,,,,4.24
2015,Je 100 000 Einwohner/-innen,,,,,,4.15
2016,Je 100 000 Einwohner/-innen,,,,,,3.78
2017,Je 100 000 Einwohner/-innen,,,,,,3.58
2018,Je 100 000 Einwohner/-innen,,,,,,3.71
2019,Je 100 000 Einwohner/-innen,,,,,,3.37
2020,Je 100 000 Einwohner/-innen,,,,,,3.03
2021,Je 100 000 Einwohner/-innen,,,,,,2.8
2022,Je 100 000 Einwohner/-innen,,,,,,3.08
2023,Je 100 000 Einwohner/-innen,,,,,,3.04
2024,Je 100 000 Einwohner/-innen,,,,,,3.24
2010,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.93
2011,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.83
2012,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.7
2013,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.51
2014,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.7
2015,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.58
2016,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.6
2017,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.43
2018,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.53
2019,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.39
2020,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.32
2021,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.31
2022,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.36
2023,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.21
2024,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.45
2010,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,8.66
2011,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,9.59
2012,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,8.56
2013,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,6.69
2014,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,6.82
2015,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,5.99
2016,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,5.39
2017,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.84
2018,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.74
2019,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.47
2020,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.18
2021,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,3.64
2022,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,3.51
2023,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,3.39
2024,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.01
2010,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,5.23
2011,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,5.69
2012,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,4.96
2013,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,4.4
2014,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,4.21
2015,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,3.94
2016,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,3.28
2017,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,3.22
2018,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,3.19
2019,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.94
2020,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.83
