Year,Zeitreihe,Value
2010,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,3.8
2011,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,2.7
2012,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,-0.7
2013,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,-0.3
2014,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,1.3
2015,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,0.5
2016,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,1.0
2017,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,1.2
2018,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,-0.1
2019,Jährliche Wachstumsrate des realen BIP pro Beschäftigten,-0.3
