Year,Units,Zeitreihe,Geschlecht,Region,GeoCode,Value
2014,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,,,,17.78
2010,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,14.62
2011,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,14.88
2012,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,15.18
2013,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,15.5
2014,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,15.44
2015,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,15.8
2016,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,16.26
2017,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,16.59
2018,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Weiblich,,,17.09
2010,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,18.81
2011,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,19.17
2012,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,19.63
2013,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,19.89
2014,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,19.87
2015,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,20.25
2016,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,20.71
2017,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,21.0
2018,EUR/h,Durchschnittlicher Stundenlohn Beschäftigter,Männlich,,,21.6
2010,Prozent (%),Verdienstabstand,,,,22.0
2011,Prozent (%),Verdienstabstand,,,,22.0
2012,Prozent (%),Verdienstabstand,,,,23.0
2013,Prozent (%),Verdienstabstand,,,,22.0
2014,Prozent (%),Verdienstabstand,,,,22.0
2015,Prozent (%),Verdienstabstand,,,,22.0
2016,Prozent (%),Verdienstabstand,,,,21.0
2017,Prozent (%),Verdienstabstand,,,,21.0
2018,Prozent (%),Verdienstabstand,,,,21.0
2010,Prozent (%),Verdienstabstand,,Baden-Württemberg,code08,27.0
2011,Prozent (%),Verdienstabstand,,Baden-Württemberg,code08,27.0
2012,Prozent (%),Verdienstabstand,,Baden-Württemberg,code08,27.0
2013,Prozent (%),Verdienstabstand,,Baden-Württemberg,code08,27.0
2014,Prozent (%),Verdienstabstand,,Baden-Württemberg,code08,27.0
2015,Prozent (%),Verdienstabstand,,Baden-Württemberg,code08,27.0
2016,Prozent (%),Verdienstabstand,,Baden-Württemberg,code08,27.0
2017,Prozent (%),Verdienstabstand,,Baden-Württemberg,code08,27.0
2010,Prozent (%),Verdienstabstand,,Bayern,code09,26.0
2011,Prozent (%),Verdienstabstand,,Bayern,code09,25.0
2012,Prozent (%),Verdienstabstand,,Bayern,code09,25.0
