Year,Units,type of financial flow,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,official development assistance,commitments,,,,288.1
2011,Millionen EUR,official development assistance,commitments,,,,258.3
2012,Millionen EUR,official development assistance,commitments,,,,214.5
2013,Millionen EUR,official development assistance,commitments,,,,341.6
2014,Millionen EUR,official development assistance,commitments,,,,653.6
2015,Millionen EUR,official development assistance,commitments,,,,634.5
2016,Millionen EUR,official development assistance,commitments,,,,609.9
2017,Millionen EUR,official development assistance,commitments,,,,620.4
2018,Millionen EUR,official development assistance,commitments,,,,547.1
2019,Millionen EUR,official development assistance,commitments,,,,898.7
2020,Millionen EUR,official development assistance,commitments,,,,965.6
2021,Millionen EUR,official development assistance,commitments,,,,1159.8
2022,Millionen EUR,official development assistance,commitments,,,,1006.3
2023,Millionen EUR,official development assistance,commitments,,,,549.3
2024,Millionen EUR,official development assistance,commitments,,,,484.2
2010,Millionen EUR,official development assistance,gross disbursements,,,,202.7
2011,Millionen EUR,official development assistance,gross disbursements,,,,247.8
2012,Millionen EUR,official development assistance,gross disbursements,,,,218.1
2013,Millionen EUR,official development assistance,gross disbursements,,,,312.2
2014,Millionen EUR,official development assistance,gross disbursements,,,,268.4
2015,Millionen EUR,official development assistance,gross disbursements,,,,485.0
2016,Millionen EUR,official development assistance,gross disbursements,,,,518.8
2017,Millionen EUR,official development assistance,gross disbursements,,,,569.7
2018,Millionen EUR,official development assistance,gross disbursements,,,,482.5
2019,Millionen EUR,official development assistance,gross disbursements,,,,536.5
2020,Millionen EUR,official development assistance,gross disbursements,,,,798.4
2021,Millionen EUR,official development assistance,gross disbursements,,,,717.8
2022,Millionen EUR,official development assistance,gross disbursements,,,,1284.6
2023,Millionen EUR,official development assistance,gross disbursements,,,,661.7
2024,Millionen EUR,official development assistance,gross disbursements,,,,567.1
2010,Millionen EUR,other official flows,commitments,,,,
2011,Millionen EUR,other official flows,commitments,,,,
2012,Millionen EUR,other official flows,commitments,,,,
2013,Millionen EUR,other official flows,commitments,,,,
2014,Millionen EUR,other official flows,commitments,,,,
2015,Millionen EUR,other official flows,commitments,,,,
2016,Millionen EUR,other official flows,commitments,,,,
2017,Millionen EUR,other official flows,commitments,,,,
2018,Millionen EUR,other official flows,commitments,,,,44.5
2019,Millionen EUR,other official flows,commitments,,,,1.4
2020,Millionen EUR,other official flows,commitments,,,,61.3
2021,Millionen EUR,other official flows,commitments,,,,4.3
2022,Millionen EUR,other official flows,commitments,,,,7.2
2023,Millionen EUR,other official flows,commitments,,,,
2024,Millionen EUR,other official flows,commitments,,,,
2010,Millionen EUR,other official flows,gross disbursements,,,,
2011,Millionen EUR,other official flows,gross disbursements,,,,
2012,Millionen EUR,other official flows,gross disbursements,,,,
2013,Millionen EUR,other official flows,gross disbursements,,,,
2014,Millionen EUR,other official flows,gross disbursements,,,,
2015,Millionen EUR,other official flows,gross disbursements,,,,
2016,Millionen EUR,other official flows,gross disbursements,,,,
2017,Millionen EUR,other official flows,gross disbursements,,,,
2018,Millionen EUR,other official flows,gross disbursements,,,,44.5
2019,Millionen EUR,other official flows,gross disbursements,,,,1.4
2020,Millionen EUR,other official flows,gross disbursements,,,,61.3
2021,Millionen EUR,other official flows,gross disbursements,,,,4.3
2022,Millionen EUR,other official flows,gross disbursements,,,,7.2
2023,Millionen EUR,other official flows,gross disbursements,,,,
2024,Millionen EUR,other official flows,gross disbursements,,,,
2010,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,442.0
2011,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,391.4
