Year,Vollständigkeit der Disaggregation,Ziel,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Vollständig disaggregiert,,,,,23
2025,Vollständig disaggregiert,,,,,22
2024,Teilweise disaggregiert,,,,,23
2025,Teilweise disaggregiert,,,,,20
2024,Nicht disaggregiert,,,,,54
2025,Nicht disaggregiert,,,,,57
2024,Vollständig disaggregiert,1 - Keine Armut,-,,,0
2025,Vollständig disaggregiert,1 - Keine Armut,-,,,0
2024,Teilweise disaggregiert,1 - Keine Armut,,,,25
2025,Teilweise disaggregiert,1 - Keine Armut,,,,25
2024,Nicht disaggregiert,1 - Keine Armut,,,,75
2025,Nicht disaggregiert,1 - Keine Armut,,,,75
2024,Vollständig disaggregiert,2 - Kein Hunger,,,,25
2025,Vollständig disaggregiert,2 - Kein Hunger,,,,20
2024,Teilweise disaggregiert,2 - Kein Hunger,-,,,0
2025,Teilweise disaggregiert,2 - Kein Hunger,-,,,0
2024,Nicht disaggregiert,2 - Kein Hunger,,,,75
2025,Nicht disaggregiert,2 - Kein Hunger,,,,80
2024,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,-,,,0
2025,Vollständig disaggregiert,3 - Gesundheit und Wohlergehen,-,,,0
2024,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,100
2025,Teilweise disaggregiert,3 - Gesundheit und Wohlergehen,,,,100
2024,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,-,,,0
2025,Nicht disaggregiert,3 - Gesundheit und Wohlergehen,-,,,0
2024,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,33
2025,Vollständig disaggregiert,4 - Hochwertige Bildung,,,,33
2024,Teilweise disaggregiert,4 - Hochwertige Bildung,-,,,0
2025,Teilweise disaggregiert,4 - Hochwertige Bildung,-,,,0
2024,Nicht disaggregiert,4 - Hochwertige Bildung,,,,67
2025,Nicht disaggregiert,4 - Hochwertige Bildung,,,,67
2024,Vollständig disaggregiert,5 - Geschlechtergleichheit,-,,,0
2025,Vollständig disaggregiert,5 - Geschlechtergleichheit,-,,,0
2024,Teilweise disaggregiert,5 - Geschlechtergleichheit,,,,17
2025,Teilweise disaggregiert,5 - Geschlechtergleichheit,-,,,0
2024,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,83
2025,Nicht disaggregiert,5 - Geschlechtergleichheit,,,,100
2024,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,17
2025,Vollständig disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,17
2024,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,50
2025,Teilweise disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,50
2024,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,33
2025,Nicht disaggregiert,8 - Menschenwürdige Arbeit und Wirtschaftswachstum,,,,33
2024,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,100
2025,Vollständig disaggregiert,"9 - Industrie, Innovation und Infrastruktur",,,,100
2024,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",-,,,0
2025,Teilweise disaggregiert,"9 - Industrie, Innovation und Infrastruktur",-,,,0
2024,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",-,,,0
2025,Nicht disaggregiert,"9 - Industrie, Innovation und Infrastruktur",-,,,0
2024,Vollständig disaggregiert,10 - Weniger Ungleichheiten,,,,33
2025,Vollständig disaggregiert,10 - Weniger Ungleichheiten,,,,33
2024,Teilweise disaggregiert,10 - Weniger Ungleichheiten,,,,67
2025,Teilweise disaggregiert,10 - Weniger Ungleichheiten,,,,67
2024,Nicht disaggregiert,10 - Weniger Ungleichheiten,-,,,0
2025,Nicht disaggregiert,10 - Weniger Ungleichheiten,-,,,0
2024,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,-,,,0
2025,Vollständig disaggregiert,11 - Nachhaltige Städte und Gemeinden,-,,,0
2024,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,40
2025,Teilweise disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,33
2024,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,60
2025,Nicht disaggregiert,11 - Nachhaltige Städte und Gemeinden,,,,67
2024,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,100
2025,Vollständig disaggregiert,12 - Nachhaltige/r Konsum und Produktion,,,,100
2024,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,-,,,0
2025,Teilweise disaggregiert,12 - Nachhaltige/r Konsum und Produktion,-,,,0
2024,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,-,,,0
2025,Nicht disaggregiert,12 - Nachhaltige/r Konsum und Produktion,-,,,0
2024,Vollständig disaggregiert,15 - Leben an Land,-,,,0
2025,Vollständig disaggregiert,15 - Leben an Land,-,,,0
2024,Teilweise disaggregiert,15 - Leben an Land,-,,,0
2025,Teilweise disaggregiert,15 - Leben an Land,-,,,0
2024,Nicht disaggregiert,15 - Leben an Land,,,,100
2025,Nicht disaggregiert,15 - Leben an Land,,,,100
2024,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",,,,25
2025,Vollständig disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",,,,25
2024,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",,,,25
2025,Teilweise disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",,,,25
2024,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",,,,50
2025,Nicht disaggregiert,"16 - Frieden, Gerechtigkeit und starke Institutionen",,,,50
2024,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,,,,50
2025,Vollständig disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,,,,50
2024,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,-,,,0
2025,Teilweise disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,-,,,0
2024,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,,,,50
2025,Nicht disaggregiert,17 - Partnerschaften zur Erreichung der Ziele,,,,50
