Year,Zeitreihe,Value
2010,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,22601.0
2011,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,20687.0
2012,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,21045.0
2013,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,21364.0
2014,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,23170.0
2015,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,23093.0
2016,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,24248.0
2017,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,29644.0
2018,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,31830.0
2019,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,
2010,Aufgriffe aufgrund des Artenschutzes,1365.0
2011,Aufgriffe aufgrund des Artenschutzes,1208.0
2012,Aufgriffe aufgrund des Artenschutzes,1112.0
2013,Aufgriffe aufgrund des Artenschutzes,1105.0
2014,Aufgriffe aufgrund des Artenschutzes,852.0
2015,Aufgriffe aufgrund des Artenschutzes,1301.0
2016,Aufgriffe aufgrund des Artenschutzes,915.0
2017,Aufgriffe aufgrund des Artenschutzes,934.0
2018,Aufgriffe aufgrund des Artenschutzes,1294.0
2019,Aufgriffe aufgrund des Artenschutzes,1444.0
