Year,Units,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Prozent,,.,,,Veränderung der Wassernutzungseffizienz,
2011,Prozent,,s,,,Veränderung der Wassernutzungseffizienz,9.6
2012,Prozent,,s,,,Veränderung der Wassernutzungseffizienz,7.3
2013,Prozent,,,,,Veränderung der Wassernutzungseffizienz,7.9
2014,Prozent,,s,,,Veränderung der Wassernutzungseffizienz,5.7
2015,Prozent,,s,,,Veränderung der Wassernutzungseffizienz,4.8
2016,Prozent,,,,,Veränderung der Wassernutzungseffizienz,5.2
2017,Prozent,,s,,,Veränderung der Wassernutzungseffizienz,9.6
2018,Prozent,,s,,,Veränderung der Wassernutzungseffizienz,7.7
2019,Prozent,,,,,Veränderung der Wassernutzungseffizienz,9.5
2020,Prozent,,s,,,Veränderung der Wassernutzungseffizienz,2.1
2021,Prozent,,s,,,Veränderung der Wassernutzungseffizienz,12.4
2022,Prozent,,,,,Veränderung der Wassernutzungseffizienz,11.8
2010,Prozent,"Land- und Forstwirtschaft, Fischerei",.,,,Veränderung der Wassernutzungseffizienz,
2011,Prozent,"Land- und Forstwirtschaft, Fischerei",s,,,Veränderung der Wassernutzungseffizienz,30.6
2012,Prozent,"Land- und Forstwirtschaft, Fischerei",s,,,Veränderung der Wassernutzungseffizienz,11.4
2013,Prozent,"Land- und Forstwirtschaft, Fischerei",,,,Veränderung der Wassernutzungseffizienz,2.9
2014,Prozent,"Land- und Forstwirtschaft, Fischerei",s,,,Veränderung der Wassernutzungseffizienz,6.5
2015,Prozent,"Land- und Forstwirtschaft, Fischerei",s,,,Veränderung der Wassernutzungseffizienz,-10.5
2016,Prozent,"Land- und Forstwirtschaft, Fischerei",,,,Veränderung der Wassernutzungseffizienz,11.9
2017,Prozent,"Land- und Forstwirtschaft, Fischerei",s,,,Veränderung der Wassernutzungseffizienz,4.7
2018,Prozent,"Land- und Forstwirtschaft, Fischerei",s,,,Veränderung der Wassernutzungseffizienz,-15.7
2019,Prozent,"Land- und Forstwirtschaft, Fischerei",,,,Veränderung der Wassernutzungseffizienz,-16.0
2020,Prozent,"Land- und Forstwirtschaft, Fischerei",s,,,Veränderung der Wassernutzungseffizienz,-36.6
2021,Prozent,"Land- und Forstwirtschaft, Fischerei",s,,,Veränderung der Wassernutzungseffizienz,65.5
2022,Prozent,"Land- und Forstwirtschaft, Fischerei",,,,Veränderung der Wassernutzungseffizienz,29.3
2010,Prozent,MIMEC,.,,,Veränderung der Wassernutzungseffizienz,
2011,Prozent,MIMEC,s,,,Veränderung der Wassernutzungseffizienz,13.4
2012,Prozent,MIMEC,s,,,Veränderung der Wassernutzungseffizienz,10.8
2013,Prozent,MIMEC,,,,Veränderung der Wassernutzungseffizienz,8.0
2014,Prozent,MIMEC,s,,,Veränderung der Wassernutzungseffizienz,6.2
2015,Prozent,MIMEC,s,,,Veränderung der Wassernutzungseffizienz,4.7
2016,Prozent,MIMEC,,,,Veränderung der Wassernutzungseffizienz,6.7
2017,Prozent,MIMEC,s,,,Veränderung der Wassernutzungseffizienz,11.4
2018,Prozent,MIMEC,s,,,Veränderung der Wassernutzungseffizienz,10.2
2019,Prozent,MIMEC,,,,Veränderung der Wassernutzungseffizienz,10.7
2020,Prozent,MIMEC,s,,,Veränderung der Wassernutzungseffizienz,1.4
2021,Prozent,MIMEC,s,,,Veränderung der Wassernutzungseffizienz,12.7
2022,Prozent,MIMEC,,,,Veränderung der Wassernutzungseffizienz,15.8
2010,Prozent,Dienstleistungen,.,,,Veränderung der Wassernutzungseffizienz,
2011,Prozent,Dienstleistungen,s,,,Veränderung der Wassernutzungseffizienz,4.5
2012,Prozent,Dienstleistungen,s,,,Veränderung der Wassernutzungseffizienz,2.2
2013,Prozent,Dienstleistungen,,,,Veränderung der Wassernutzungseffizienz,4.2
2014,Prozent,Dienstleistungen,s,,,Veränderung der Wassernutzungseffizienz,5.6
2015,Prozent,Dienstleistungen,s,,,Veränderung der Wassernutzungseffizienz,5.6
2016,Prozent,Dienstleistungen,,,,Veränderung der Wassernutzungseffizienz,4.8
2017,Prozent,Dienstleistungen,s,,,Veränderung der Wassernutzungseffizienz,7.1
2018,Prozent,Dienstleistungen,s,,,Veränderung der Wassernutzungseffizienz,6.5
2019,Prozent,Dienstleistungen,,,,Veränderung der Wassernutzungseffizienz,9.2
2020,Prozent,Dienstleistungen,s,,,Veränderung der Wassernutzungseffizienz,0.2
2021,Prozent,Dienstleistungen,s,,,Veränderung der Wassernutzungseffizienz,10.4
2022,Prozent,Dienstleistungen,,,,Veränderung der Wassernutzungseffizienz,11.1
2010,Euro pro m³,,,,,Wassernutzungseffizienz,64.0
2011,Euro pro m³,,s,,,Wassernutzungseffizienz,70.2
