Year,Sektor,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,10279
2011,,,,,11415
2012,,,,,11701
2013,,,,,11331
2014,,r,,,12659
2015,,,,,12117
2016,,,,,12824
2017,,,,,13263
2018,,,,,14747
2019,,,,,15577
2020,,,,,16070
2021,,,,,14209
2022,,p,,,15929
2010,Staat,,,,2726
2011,Staat,,,,3434
2012,Staat,,,,3716
2013,Staat,,,,3708
2014,Staat,r,,,4271
2015,Staat,,,,4051
2016,Staat,,,,4594
2017,Staat,,,,4245
2018,Staat,,,,4625
2019,Staat,,,,4979
2020,Staat,,,,5028
2021,Staat,,,,3589
2022,Staat,p,,,3902
2010,Unternehmen,,,,7553
2011,Unternehmen,,,,7981
2012,Unternehmen,,,,7985
2013,Unternehmen,,,,7623
2014,Unternehmen,,,,8388
2015,Unternehmen,,,,8066
2016,Unternehmen,,,,8230
2017,Unternehmen,,,,9018
2018,Unternehmen,,,,10123
2019,Unternehmen,,,,10598
2020,Unternehmen,,,,11042
2021,Unternehmen,,,,10620
2022,Unternehmen,p,,,12026
