Year,Units,Value
2010,Millionen Tonnen,1306.0
2011,Millionen Tonnen,1379.0
2012,Millionen Tonnen,1254.0
2013,Millionen Tonnen,1266.0
2014,Millionen Tonnen,1274.0
2015,Millionen Tonnen,1198.0
2016,Millionen Tonnen,1221.0
2010,Tonnen pro Kopf,15.8
2011,Tonnen pro Kopf,17.1
2012,Tonnen pro Kopf,15.6
2013,Tonnen pro Kopf,15.8
2014,Tonnen pro Kopf,16.0
2015,Tonnen pro Kopf,
2016,Tonnen pro Kopf,
2010,Pro realem BIP (2010 = 100),100.0
2011,Pro realem BIP (2010 = 100),102.8
2012,Pro realem BIP (2010 = 100),93.5
2013,Pro realem BIP (2010 = 100),94.2
2014,Pro realem BIP (2010 = 100),94.3
2015,Pro realem BIP (2010 = 100),
2016,Pro realem BIP (2010 = 100),
