Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1228.0
2011,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1311.0
2012,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1265.0
2013,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1267.0
2014,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1289.0
2015,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1248.0
2016,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1264.0
2017,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1279.0
2018,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1231.0
2019,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1190.0
2020,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1157.0
2021,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1187.0
2022,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1141.0
2023,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),1025.0
2024,Millionen Tonnen,,,,Inländische Materialverwendung (DMC),984.0
2010,Tonnen pro Kopf,r,,,Inländische Materialverwendung (DMC),15.3
2011,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),16.3
2012,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.7
2013,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.7
2014,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),16.0
2015,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.3
2016,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.4
2017,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.6
2018,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),15.0
2019,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),14.5
2020,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),14.1
2021,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),14.5
2022,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),13.8
2023,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),12.3
2024,Tonnen pro Kopf,,,,Inländische Materialverwendung (DMC),11.8
2010,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,118.8
2011,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,122.2
2012,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,117.4
2013,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,117.0
2014,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,116.6
2015,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,111.0
2016,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,110.0
2017,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,108.2
2018,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,103.0
2019,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,98.7
2020,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,100.0
2021,2020 = 100,,,,Inländische Materialverwendung pro realem BIP,98.8
2022,2020 = 100,p,,,Inländische Materialverwendung pro realem BIP,93.2
2023,2020 = 100,p,,,Inländische Materialverwendung pro realem BIP,84.5
2024,2020 = 100,p,,,Inländische Materialverwendung pro realem BIP,81.5
