Year,Geschlecht,Altersklasse,Value
2010,,,9.17
2011,,,9.66
2012,,,9.59
2013,,,9.41
2014,,,10.49
2015,,,10.23
2016,,,9.74
2017,,,9.43
2018,,,9.8
2010,Weiblich,,9.31
2011,Weiblich,,9.91
2012,Weiblich,,10.14
2013,Weiblich,,9.91
2014,Weiblich,,10.74
2015,Weiblich,,10.34
2016,Weiblich,,10.14
2017,Weiblich,,9.55
2018,Weiblich,,10.0
2010,Männlich,,9.02
2011,Männlich,,9.4
2012,Männlich,,9.03
2013,Männlich,,8.89
2014,Männlich,,10.23
2015,Männlich,,10.11
2016,Männlich,,9.33
2017,Männlich,,9.3
2018,Männlich,,9.6
2010,,17 Jahre und jünger,9.37
2011,,17 Jahre und jünger,7.97
2012,,17 Jahre und jünger,7.83
2013,,17 Jahre und jünger,7.18
2014,,17 Jahre und jünger,8.21
2015,,17 Jahre und jünger,7.84
2016,,17 Jahre und jünger,7.84
2017,,17 Jahre und jünger,6.88
2018,,17 Jahre und jünger,7.6
2010,,18 bis unter 65 Jahre,9.8
2011,,18 bis unter 65 Jahre,10.84
2012,,18 bis unter 65 Jahre,10.43
2013,,18 bis unter 65 Jahre,10.46
2014,,18 bis unter 65 Jahre,11.55
2015,,18 bis unter 65 Jahre,11.28
2016,,18 bis unter 65 Jahre,10.35
2017,,18 bis unter 65 Jahre,10.19
2018,,18 bis unter 65 Jahre,10.42
2010,,65 Jahre und mehr,6.99
2011,,65 Jahre und mehr,7.34
2012,,65 Jahre und mehr,8.36
2013,,65 Jahre und mehr,7.99
2014,,65 Jahre und mehr,9.12
2015,,65 Jahre und mehr,8.98
2016,,65 Jahre und mehr,9.4
2017,,65 Jahre und mehr,9.19
2018,,65 Jahre und mehr,9.71
