Year,Units,Zeitreihe,Aufgabenbereich,Gerichtsebene,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.5
2011,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.8
2012,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.8
2013,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.7
2014,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.6
2015,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2016,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2017,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2018,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2019,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2020,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2021,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2022,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.5
2023,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2024,Prozent,Bevölkerung im erwerbsfähigen Alter,,,,,,49.4
2025,Prozent,Bevölkerung im erwerbsfähigen Alter,,,…,,,
2026,Prozent,Bevölkerung im erwerbsfähigen Alter,,,…,,,
2010,Prozent,Deutscher Bundestag,,,,,,32.8
2011,Prozent,Deutscher Bundestag,,,,,,33.1
2012,Prozent,Deutscher Bundestag,,,,,,32.9
2013,Prozent,Deutscher Bundestag,,,,,,32.9
2014,Prozent,Deutscher Bundestag,,,,,,36.5
2015,Prozent,Deutscher Bundestag,,,,,,36.3
2016,Prozent,Deutscher Bundestag,,,,,,36.8
2017,Prozent,Deutscher Bundestag,,,,,,37.1
2018,Prozent,Deutscher Bundestag,,,,,,30.9
2019,Prozent,Deutscher Bundestag,,,,,,31.2
2020,Prozent,Deutscher Bundestag,,,,,,31.3
2021,Prozent,Deutscher Bundestag,,,,,,31.5
2022,Prozent,Deutscher Bundestag,,,,,,34.9
2023,Prozent,Deutscher Bundestag,,,,,,35.1
2024,Prozent,Deutscher Bundestag,,,,,,35.3
2025,Prozent,Deutscher Bundestag,,,,,,35.6
2026,Prozent,Deutscher Bundestag,,,,,,35.2
2010,Prozent,Bundesrat,,,,,,18.8
2011,Prozent,Bundesrat,,,,,,24.6
2012,Prozent,Bundesrat,,,,,,27.5
2013,Prozent,Bundesrat,,,,,,29.0
2014,Prozent,Bundesrat,,,,,,34.8
2015,Prozent,Bundesrat,,,,,,40.6
2016,Prozent,Bundesrat,,,,,,37.7
2017,Prozent,Bundesrat,,,,,,39.1
2018,Prozent,Bundesrat,,,,,,39.1
2019,Prozent,Bundesrat,,,,,,36.2
2020,Prozent,Bundesrat,,,,,,34.8
2021,Prozent,Bundesrat,,,,,,33.3
2022,Prozent,Bundesrat,,,,,,31.9
2023,Prozent,Bundesrat,,,,,,37.7
2024,Prozent,Bundesrat,,,,,,37.7
2025,Prozent,Bundesrat,,,,,,34.8
2026,Prozent,Bundesrat,,,,,,34.8
2010,Prozent,Öffentlicher Dienst,,,,,,50.5
2011,Prozent,Öffentlicher Dienst,,,,,,50.2
2012,Prozent,Öffentlicher Dienst,,,,,,50.7
2013,Prozent,Öffentlicher Dienst,,,,,,51.1
2014,Prozent,Öffentlicher Dienst,,,,,,51.5
2015,Prozent,Öffentlicher Dienst,,,,,,51.9
2016,Prozent,Öffentlicher Dienst,,,,,,52.3
2017,Prozent,Öffentlicher Dienst,,,,,,52.6
2018,Prozent,Öffentlicher Dienst,,,,,,52.9
2019,Prozent,Öffentlicher Dienst,,,,,,53.3
2020,Prozent,Öffentlicher Dienst,,,,,,53.6
2021,Prozent,Öffentlicher Dienst,,,,,,54.0
2022,Prozent,Öffentlicher Dienst,,,,,,54.4
2023,Prozent,Öffentlicher Dienst,,,,,,51.7
2024,Prozent,Öffentlicher Dienst,,,,,,52.1
2025,Prozent,Öffentlicher Dienst,,,…,,,
2026,Prozent,Öffentlicher Dienst,,,…,,,
2010,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,48.8
2011,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,49.2
2012,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,49.7
2013,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,50.2
2014,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,50.5
2015,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,50.9
2016,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,51.6
