Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2011,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2012,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2013,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2014,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2015,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2016,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2017,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2018,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2019,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2020,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2021,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2022,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2023,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2024,Prozent,,,,Bevölkerung mit Zugang zu Elektrizität,100.0
2010,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,44391.3
2011,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,44766.6
2012,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,45722.9
2013,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,46105.0
2014,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,46918.7
2015,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,47283.1
2016,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,47606.5
2017,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,47241.7
2018,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,48394.5
2019,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,48441.5
2020,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,49137.9
2021,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,49296.9
2022,Anzahl in 1 000,,,,Haushalte und Kleinbetriebe mit Zugang zu Elektrizitätsnetzwerken,49061.7
