Year,Units,Zeitreihe,Art des Empfängers/Bereitstellers,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2007,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2008,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2009,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2010,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2011,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2012,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2013,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2014,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2015,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2016,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2017,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2018,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2019,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2020,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2021,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2022,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2023,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2024,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2025,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2026,"ja=1, nein=0",,,,,,1) Vertragspartei des ITPGRFA,1
2007,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2008,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2009,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2010,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2011,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2012,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2013,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2014,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2015,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,0
2016,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2017,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2018,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2019,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2020,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2021,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2022,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2023,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2024,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
