Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen (ODA and OOF),,,,916.0
2011,Millionen EUR,Zusagen (ODA and OOF),,,,809.2
2012,Millionen EUR,Zusagen (ODA and OOF),,,,740.5
2013,Millionen EUR,Zusagen (ODA and OOF),,,,835.9
2014,Millionen EUR,Zusagen (ODA and OOF),,,,1115.5
2015,Millionen EUR,Zusagen (ODA and OOF),,,,1578.0
2016,Millionen EUR,Zusagen (ODA and OOF),,,,1278.4
2017,Millionen EUR,Zusagen (ODA and OOF),,,,2141.1
2018,Millionen EUR,Zusagen (ODA and OOF),,,,2107.3
2019,Millionen EUR,Zusagen (ODA and OOF),,,,2029.1
2020,Millionen EUR,Zusagen (ODA and OOF),,,,3225.6
2021,Millionen EUR,Zusagen (ODA and OOF),,,,2941.9
2022,Millionen EUR,Zusagen (ODA and OOF),,,,2972.9
2023,Millionen EUR,Zusagen (ODA and OOF),,,,3486.6
2010,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,675.0
2011,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,703.8
2012,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,743.5
2013,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,819.9
2014,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,929.0
2015,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,1302.0
2016,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,1210.4
2017,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,1536.8
2018,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2150.9
2019,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,1727.2
2020,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2395.3
2021,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2415.8
2022,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2801.3
2023,Millionen EUR,Bruttoausgaben (ODA und OOF),,,,2322.6
2010,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,1351.9
2011,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,1179.9
2012,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,1064.4
2013,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,1178.1
2014,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,1542.7
2015,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,2146.4
2016,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,1717.2
2017,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,2834.2
2018,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,2738.4
2019,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,2584.8
2020,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,4038.0
2021,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,3582.4
2022,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,3412.0
2023,"Millionen USD, konstante Preise (2023)",Zusagen (ODA and OOF),,,,3770.1
2010,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,996.3
2011,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,1026.2
2012,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,1068.7
2013,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,1155.5
2014,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,1284.9
2015,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,1770.9
2016,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,1625.8
2017,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,2034.2
2018,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,2795.0
2019,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,2200.2
2020,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,2998.5
2021,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,2941.8
2022,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,3215.1
2023,"Millionen USD, konstante Preise (2023)",Bruttoausgaben (ODA und OOF),,,,2511.5
