Year,Zeitreihe,Value
2010,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2011,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2012,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2013,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2014,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2015,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2016,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2017,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2018,Bevölkerung mit einer sicher verwalteten Trinkwasserversorgung,100.0
2010,Bevölkerung mit Anschluss an die öffentliche Wasserversorgung,99.3
2013,Bevölkerung mit Anschluss an die öffentliche Wasserversorgung,99.3
2016,Bevölkerung mit Anschluss an die öffentliche Wasserversorgung,99.4
