Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Steuern,r,,,45.1
2011,Steuern,r,,,49.5
2012,Steuern,r,,,50.9
2013,Steuern,r,,,51.5
2014,Steuern,r,,,52.0
2015,Steuern,r,,,52.5
2016,Steuern,r,,,52.9
2017,Steuern,r,,,53.4
2018,Steuern,r,,,53.9
2019,Steuern,r,,,52.9
2020,Steuern,,,,45.4
2021,Steuern,p,,,48.1
2022,Steuern,p,,,49.6
2023,Steuern,p,,,47.3
2010,Steuern und Sozialversicherungsausgaben,r,,,79.0
2011,Steuern und Sozialversicherungsausgaben,r,,,85.0
2012,Steuern und Sozialversicherungsausgaben,r,,,86.9
2013,Steuern und Sozialversicherungsausgaben,r,,,87.4
2014,Steuern und Sozialversicherungsausgaben,r,,,88.4
2015,Steuern und Sozialversicherungsausgaben,r,,,89.0
2016,Steuern und Sozialversicherungsausgaben,r,,,89.6
2017,Steuern und Sozialversicherungsausgaben,r,,,90.4
2018,Steuern und Sozialversicherungsausgaben,r,,,91.2
2019,Steuern und Sozialversicherungsausgaben,r,,,90.1
2020,Steuern und Sozialversicherungsausgaben,,,,79.8
2021,Steuern und Sozialversicherungsausgaben,p,,,82.1
2022,Steuern und Sozialversicherungsausgaben,p,,,84.0
2023,Steuern und Sozialversicherungsausgaben,p,,,82.3
