Year,Units,Series,Value
2010,Millionen Tonnen,Inländische Materialverwendung (DMC),1239.0
2011,Millionen Tonnen,Inländische Materialverwendung (DMC),1323.0
2012,Millionen Tonnen,Inländische Materialverwendung (DMC),1277.0
2013,Millionen Tonnen,Inländische Materialverwendung (DMC),1277.0
2014,Millionen Tonnen,Inländische Materialverwendung (DMC),1289.0
2015,Millionen Tonnen,Inländische Materialverwendung (DMC),1249.0
2016,Millionen Tonnen,Inländische Materialverwendung (DMC),1264.0
2017,Millionen Tonnen,Inländische Materialverwendung (DMC),1282.0
2018,Millionen Tonnen,Inländische Materialverwendung (DMC),1240.0
2019,Millionen Tonnen,Inländische Materialverwendung (DMC),1198.0
2020,Millionen Tonnen,Inländische Materialverwendung (DMC),1162.0
2021,Millionen Tonnen,Inländische Materialverwendung (DMC),1196.0
2022,Millionen Tonnen,Inländische Materialverwendung (DMC),1143.0
2010,Tonnen pro Kopf,Inländische Materialverwendung (DMC),15.4
2011,Tonnen pro Kopf,Inländische Materialverwendung (DMC),16.5
2012,Tonnen pro Kopf,Inländische Materialverwendung (DMC),15.9
2013,Tonnen pro Kopf,Inländische Materialverwendung (DMC),15.8
2014,Tonnen pro Kopf,Inländische Materialverwendung (DMC),15.9
2015,Tonnen pro Kopf,Inländische Materialverwendung (DMC),15.3
2016,Tonnen pro Kopf,Inländische Materialverwendung (DMC),15.4
2017,Tonnen pro Kopf,Inländische Materialverwendung (DMC),15.5
2018,Tonnen pro Kopf,Inländische Materialverwendung (DMC),15.0
2019,Tonnen pro Kopf,Inländische Materialverwendung (DMC),14.4
2020,Tonnen pro Kopf,Inländische Materialverwendung (DMC),14.0
2021,Tonnen pro Kopf,Inländische Materialverwendung (DMC),14.4
2022,Tonnen pro Kopf,Inländische Materialverwendung (DMC),13.6
2010,2015 = 100,Inländische Materialverwendung pro realem BIP,107.8
2011,2015 = 100,Inländische Materialverwendung pro realem BIP,110.8
2012,2015 = 100,Inländische Materialverwendung pro realem BIP,106.5
2013,2015 = 100,Inländische Materialverwendung pro realem BIP,106.1
2014,2015 = 100,Inländische Materialverwendung pro realem BIP,104.8
2015,2015 = 100,Inländische Materialverwendung pro realem BIP,100.0
2016,2015 = 100,Inländische Materialverwendung pro realem BIP,99.0
2017,2015 = 100,Inländische Materialverwendung pro realem BIP,97.8
2018,2015 = 100,Inländische Materialverwendung pro realem BIP,93.7
2019,2015 = 100,Inländische Materialverwendung pro realem BIP,89.5
2020,2015 = 100,Inländische Materialverwendung pro realem BIP,90.3
2021,2015 = 100,Inländische Materialverwendung pro realem BIP,90.1
2022,2015 = 100,Inländische Materialverwendung pro realem BIP,84.6
