Year,Units,Zeitreihe,Value
2010,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2011,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2012,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2013,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2014,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2015,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2016,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2017,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2018,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2019,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2020,Prozent,"Siedlungsabfälle, die regelmäßig gesammelt und behandelt werden",100.0
2010,1 000 Tonnen,Siedlungsabfälle insgesamt,49237.0
2011,1 000 Tonnen,Siedlungsabfälle insgesamt,50237.0
2012,1 000 Tonnen,Siedlungsabfälle insgesamt,49759.0
2013,1 000 Tonnen,Siedlungsabfälle insgesamt,49570.0
2014,1 000 Tonnen,Siedlungsabfälle insgesamt,51102.0
2015,1 000 Tonnen,Siedlungsabfälle insgesamt,51625.0
2016,1 000 Tonnen,Siedlungsabfälle insgesamt,52133.0
2017,1 000 Tonnen,Siedlungsabfälle insgesamt,51790.0
2018,1 000 Tonnen,Siedlungsabfälle insgesamt,50260.0
2019,1 000 Tonnen,Siedlungsabfälle insgesamt,
2020,1 000 Tonnen,Siedlungsabfälle insgesamt,
