Year,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Landwirtschaft,,,,91.5
2011,Landwirtschaft,,,,92.0
2012,Landwirtschaft,,,,90.6
2013,Landwirtschaft,,,,89.2
2014,Landwirtschaft,,,,101.0
2015,Landwirtschaft,,,,85.9
2016,Landwirtschaft,,,,90.6
2017,Landwirtschaft,,,,98.2
2018,Landwirtschaft,,,,80.8
2019,Landwirtschaft,,,,94.0
2020,Landwirtschaft,,,,100.0
2021,Landwirtschaft,p,,,115.7
2022,Landwirtschaft,p,,,115.3
2010,Forstwirtschaft,,,,106.9
2011,Forstwirtschaft,,,,134.7
2012,Forstwirtschaft,,,,153.7
2013,Forstwirtschaft,,,,155.5
2014,Forstwirtschaft,,,,161.8
2015,Forstwirtschaft,,,,167.8
2016,Forstwirtschaft,,,,181.5
2017,Forstwirtschaft,,,,182.0
2018,Forstwirtschaft,,,,209.3
2019,Forstwirtschaft,,,,171.4
2020,Forstwirtschaft,,,,100.0
2021,Forstwirtschaft,p,,,124.0
2022,Forstwirtschaft,p,,,177.0
