Year,Units,Zeitreihe,Value
2010,Mill. t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC; abiotische und biotische Rohstoffe),1292.0
2011,Mill. t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC; abiotische und biotische Rohstoffe),1377.0
2012,Mill. t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC; abiotische und biotische Rohstoffe),1258.0
2013,Mill. t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC; abiotische und biotische Rohstoffe),1274.0
2014,Mill. t,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC; abiotische und biotische Rohstoffe),1303.0
2010,t je Einwohner,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) je Einwohner,15.8
2011,t je Einwohner,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) je Einwohner,17.1
2012,t je Einwohner,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) je Einwohner,15.6
2013,t je Einwohner,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) je Einwohner,15.8
2014,t je Einwohner,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) je Einwohner,16.0
2010,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP (t pro realem BIP),100.0
2011,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP (t pro realem BIP),102.8
2012,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP (t pro realem BIP),93.5
2013,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP (t pro realem BIP),94.2
2014,2010 = 100,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC) zum realen BIP (t pro realem BIP),94.3
