Year,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,s,,,0.03
2011,,s,,,0.03
2012,,s,,,0.03
2013,,s,,,0.03
2014,,s,,,0.03
2015,,s,,,0.03
2016,,s,,,0.03
2017,,s,,,0.03
2018,,s,,,0.03
2019,,s,,,0.03
2020,,s,,,0.02
2021,,s,,,0.02
2022,,s,,,0.02
2023,,s,,,0.03
2024,,s,,,0.03
2010,Weiblich,s,,,0.01
2011,Weiblich,s,,,0.01
2012,Weiblich,s,,,0.01
2013,Weiblich,s,,,0.01
2014,Weiblich,s,,,0.01
2015,Weiblich,s,,,0.01
2016,Weiblich,s,,,0.01
2017,Weiblich,s,,,0.01
2018,Weiblich,s,,,0.01
2019,Weiblich,s,,,0.01
2020,Weiblich,s,,,0.01
2021,Weiblich,s,,,0.01
2022,Weiblich,.,,,
2023,Weiblich,s,,,0.01
2024,Weiblich,s,,,0.01
2010,Männlich,s,,,0.06
2011,Männlich,s,,,0.06
2012,Männlich,s,,,0.06
2013,Männlich,s,,,0.06
2014,Männlich,s,,,0.06
2015,Männlich,s,,,0.05
2016,Männlich,s,,,0.05
2017,Männlich,s,,,0.05
2018,Männlich,s,,,0.05
2019,Männlich,s,,,0.05
2020,Männlich,s,,,0.04
2021,Männlich,s,,,0.03
2022,Männlich,.,,,
2023,Männlich,s,,,0.04
2024,Männlich,s,,,0.04
