Year,Units,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Anzahl,13 Jahre und jünger,,,,,11.0
2011,Anzahl,13 Jahre und jünger,,,,,29.0
2012,Anzahl,13 Jahre und jünger,,,,,19.0
2013,Anzahl,13 Jahre und jünger,,,,,18.0
2014,Anzahl,13 Jahre und jünger,,,,,22.0
2015,Anzahl,13 Jahre und jünger,,,,,19.0
2016,Anzahl,13 Jahre und jünger,,,,,36.0
2017,Anzahl,13 Jahre und jünger,,|,,,67.0
2018,Anzahl,13 Jahre und jünger,,,,,18.0
2019,Anzahl,13 Jahre und jünger,,,,,15.0
2020,Anzahl,13 Jahre und jünger,,,,,31.0
2021,Anzahl,13 Jahre und jünger,,,,,36.0
2022,Anzahl,13 Jahre und jünger,,,,,20.0
2023,Anzahl,13 Jahre und jünger,,,,,13.0
2024,Anzahl,13 Jahre und jünger,,,,,17.0
2010,Anzahl,13 Jahre und jünger,Weiblich,,,,2.0
2011,Anzahl,13 Jahre und jünger,Weiblich,,,,13.0
2012,Anzahl,13 Jahre und jünger,Weiblich,,,,11.0
2013,Anzahl,13 Jahre und jünger,Weiblich,,,,6.0
2014,Anzahl,13 Jahre und jünger,Weiblich,,,,9.0
2015,Anzahl,13 Jahre und jünger,Weiblich,,,,7.0
2016,Anzahl,13 Jahre und jünger,Weiblich,,,,15.0
2017,Anzahl,13 Jahre und jünger,Weiblich,|,,,16.0
2018,Anzahl,13 Jahre und jünger,Weiblich,,,,9.0
2019,Anzahl,13 Jahre und jünger,Weiblich,,,,9.0
2020,Anzahl,13 Jahre und jünger,Weiblich,,,,10.0
2021,Anzahl,13 Jahre und jünger,Weiblich,,,,17.0
2022,Anzahl,13 Jahre und jünger,Weiblich,,,,13.0
2023,Anzahl,13 Jahre und jünger,Weiblich,,,,8.0
2024,Anzahl,13 Jahre und jünger,Weiblich,,,,11.0
2010,Anzahl,13 Jahre und jünger,Männlich,,,,9.0
2011,Anzahl,13 Jahre und jünger,Männlich,,,,16.0
2012,Anzahl,13 Jahre und jünger,Männlich,,,,8.0
2013,Anzahl,13 Jahre und jünger,Männlich,,,,12.0
2014,Anzahl,13 Jahre und jünger,Männlich,,,,13.0
2015,Anzahl,13 Jahre und jünger,Männlich,,,,12.0
2016,Anzahl,13 Jahre und jünger,Männlich,,,,21.0
2017,Anzahl,13 Jahre und jünger,Männlich,|,,,51.0
2018,Anzahl,13 Jahre und jünger,Männlich,,,,9.0
2019,Anzahl,13 Jahre und jünger,Männlich,,,,6.0
2020,Anzahl,13 Jahre und jünger,Männlich,,,,21.0
2021,Anzahl,13 Jahre und jünger,Männlich,,,,19.0
2022,Anzahl,13 Jahre und jünger,Männlich,,,,7.0
2023,Anzahl,13 Jahre und jünger,Männlich,,,,5.0
2024,Anzahl,13 Jahre und jünger,Männlich,,,,6.0
2010,Anzahl,14 bis unter 18 Jahre,,,,,108.0
2011,Anzahl,14 bis unter 18 Jahre,,,,,95.0
2012,Anzahl,14 bis unter 18 Jahre,,,,,96.0
2013,Anzahl,14 bis unter 18 Jahre,,,,,92.0
2014,Anzahl,14 bis unter 18 Jahre,,,,,76.0
2015,Anzahl,14 bis unter 18 Jahre,,,,,87.0
2016,Anzahl,14 bis unter 18 Jahre,,,,,111.0
2017,Anzahl,14 bis unter 18 Jahre,,|,,,53.0
2018,Anzahl,14 bis unter 18 Jahre,,,,,112.0
2019,Anzahl,14 bis unter 18 Jahre,,,,,89.0
2020,Anzahl,14 bis unter 18 Jahre,,,,,86.0
2021,Anzahl,14 bis unter 18 Jahre,,,,,82.0
2022,Anzahl,14 bis unter 18 Jahre,,,,,86.0
2023,Anzahl,14 bis unter 18 Jahre,,,,,67.0
2024,Anzahl,14 bis unter 18 Jahre,,,,,70.0
2010,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,97.0
2011,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,82.0
2012,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,88.0
2013,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,79.0
2014,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,66.0
2015,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,80.0
2016,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,100.0
2017,Anzahl,14 bis unter 18 Jahre,Weiblich,|,,,49.0
2018,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,96.0
2019,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,74.0
2020,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,62.0
2021,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,64.0
