Year,Units,Altersklasse,Geschlecht,Value
2010,Je 100 000 Einwohner,,,0.99
2011,Je 100 000 Einwohner,,,0.92
2012,Je 100 000 Einwohner,,,0.82
2013,Je 100 000 Einwohner,,,0.84
2014,Je 100 000 Einwohner,,,0.88
2015,Je 100 000 Einwohner,,,0.83
2016,Je 100 000 Einwohner,,,1.17
2017,Je 100 000 Einwohner,,,0.98
2018,Je 100 000 Einwohner,,,0.95
2019,Je 100 000 Einwohner,,,0.75
2020,Je 100 000 Einwohner,,,0.94
2010,Anzahl,,,793.0
2011,Anzahl,,,738.0
2012,Anzahl,,,659.0
2013,Anzahl,,,682.0
2014,Anzahl,,,716.0
2015,Anzahl,,,682.0
2016,Anzahl,,,963.0
2017,Anzahl,,,813.0
2018,Anzahl,,,788.0
2019,Anzahl,,,623.0
2020,Anzahl,,,782.0
2010,Anzahl,13 Jahre und jünger,,77.0
2011,Anzahl,13 Jahre und jünger,,73.0
2012,Anzahl,13 Jahre und jünger,,90.0
2013,Anzahl,13 Jahre und jünger,,66.0
2014,Anzahl,13 Jahre und jünger,,63.0
2015,Anzahl,13 Jahre und jünger,,62.0
2016,Anzahl,13 Jahre und jünger,,68.0
2017,Anzahl,13 Jahre und jünger,,67.0
2018,Anzahl,13 Jahre und jünger,,70.0
2019,Anzahl,13 Jahre und jünger,,46.0
2020,Anzahl,13 Jahre und jünger,,79.0
2010,Anzahl,14 bis unter 18 Jahre,,22.0
2011,Anzahl,14 bis unter 18 Jahre,,27.0
2012,Anzahl,14 bis unter 18 Jahre,,6.0
2013,Anzahl,14 bis unter 18 Jahre,,12.0
2014,Anzahl,14 bis unter 18 Jahre,,15.0
2015,Anzahl,14 bis unter 18 Jahre,,14.0
2016,Anzahl,14 bis unter 18 Jahre,,35.0
2017,Anzahl,14 bis unter 18 Jahre,,4.0
2018,Anzahl,14 bis unter 18 Jahre,,14.0
2019,Anzahl,14 bis unter 18 Jahre,,11.0
2020,Anzahl,14 bis unter 18 Jahre,,12.0
2010,Anzahl,18 bis unter 21 Jahre,,38.0
2011,Anzahl,18 bis unter 21 Jahre,,29.0
2012,Anzahl,18 bis unter 21 Jahre,,23.0
2013,Anzahl,18 bis unter 21 Jahre,,15.0
2014,Anzahl,18 bis unter 21 Jahre,,20.0
2015,Anzahl,18 bis unter 21 Jahre,,18.0
2016,Anzahl,18 bis unter 21 Jahre,,43.0
2017,Anzahl,18 bis unter 21 Jahre,,16.0
2018,Anzahl,18 bis unter 21 Jahre,,26.0
2019,Anzahl,18 bis unter 21 Jahre,,16.0
2020,Anzahl,18 bis unter 21 Jahre,,21.0
2010,Anzahl,21 bis unter 60 Jahre,,448.0
2011,Anzahl,21 bis unter 60 Jahre,,424.0
2012,Anzahl,21 bis unter 60 Jahre,,359.0
2013,Anzahl,21 bis unter 60 Jahre,,377.0
2014,Anzahl,21 bis unter 60 Jahre,,405.0
2015,Anzahl,21 bis unter 60 Jahre,,343.0
2016,Anzahl,21 bis unter 60 Jahre,,527.0
2017,Anzahl,21 bis unter 60 Jahre,,414.0
2018,Anzahl,21 bis unter 60 Jahre,,445.0
2019,Anzahl,21 bis unter 60 Jahre,,349.0
2020,Anzahl,21 bis unter 60 Jahre,,378.0
2010,Anzahl,60 Jahre und älter,,208.0
2011,Anzahl,60 Jahre und älter,,185.0
2012,Anzahl,60 Jahre und älter,,181.0
