Year,Zeitreihe,Value
2010,Verhältnis der Gesamteinnahmen des Staates zum BIP,42.06
2011,Verhältnis der Gesamteinnahmen des Staates zum BIP,42.98
2012,Verhältnis der Gesamteinnahmen des Staates zum BIP,42.69
2013,Verhältnis der Gesamteinnahmen des Staates zum BIP,43.59
2014,Verhältnis der Gesamteinnahmen des Staates zum BIP,45.1
2015,Verhältnis der Gesamteinnahmen des Staates zum BIP,45.77
2016,Verhältnis der Gesamteinnahmen des Staates zum BIP,47.05
2017,Verhältnis der Gesamteinnahmen des Staates zum BIP,47.83
2018,Verhältnis der Gesamteinnahmen des Staates zum BIP,48.93
2019,Verhältnis der Gesamteinnahmen des Staates zum BIP,49.92
