Year,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,11 Monate und jünger,,,,,3.4
2011,11 Monate und jünger,,,,,3.6
2012,11 Monate und jünger,,,,,3.3
2013,11 Monate und jünger,,,,,3.3
2014,11 Monate und jünger,,,,,3.2
2015,11 Monate und jünger,,,,,3.3
2016,11 Monate und jünger,,,,,3.4
2017,11 Monate und jünger,,,,,3.3
2018,11 Monate und jünger,,,,,3.2
2019,11 Monate und jünger,,,,,3.2
2020,11 Monate und jünger,,,,,3.1
2021,11 Monate und jünger,,,,,3.0
2022,11 Monate und jünger,,,,,3.2
2023,11 Monate und jünger,,,,,3.2
2024,11 Monate und jünger,,,,,3.3
2010,4 Jahre und jünger,,,,,4.1
2011,4 Jahre und jünger,,,,,4.3
2012,4 Jahre und jünger,,,,,3.9
2013,4 Jahre und jünger,,,,,3.9
2014,4 Jahre und jünger,,,,,3.8
2015,4 Jahre und jünger,,,,,3.9
2016,4 Jahre und jünger,,,,,4.0
2017,4 Jahre und jünger,,,,,3.8
2018,4 Jahre und jünger,,,,,3.7
2019,4 Jahre und jünger,,,,,3.8
2020,4 Jahre und jünger,,,,,3.6
2021,4 Jahre und jünger,,,,,3.5
2022,4 Jahre und jünger,,,,,3.8
2023,4 Jahre und jünger,,,,,3.9
2024,4 Jahre und jünger,,,,,4.0
2010,11 Monate und jünger,Weiblich,,,,3.1
2011,11 Monate und jünger,Weiblich,,,,3.3
2012,11 Monate und jünger,Weiblich,,,,3.0
2013,11 Monate und jünger,Weiblich,,,,3.0
2014,11 Monate und jünger,Weiblich,,,,2.9
2015,11 Monate und jünger,Weiblich,,,,3.1
2016,11 Monate und jünger,Weiblich,,,,3.1
2017,11 Monate und jünger,Weiblich,,,,3.0
2018,11 Monate und jünger,Weiblich,,,,2.9
2019,11 Monate und jünger,Weiblich,,,,2.9
2020,11 Monate und jünger,Weiblich,,,,2.9
2021,11 Monate und jünger,Weiblich,,,,2.7
2022,11 Monate und jünger,Weiblich,,,,3.0
2023,11 Monate und jünger,Weiblich,,,,2.9
2024,11 Monate und jünger,Weiblich,,,,3.1
2010,4 Jahre und jünger,Weiblich,,,,3.8
2011,4 Jahre und jünger,Weiblich,,,,3.9
2012,4 Jahre und jünger,Weiblich,,,,3.6
2013,4 Jahre und jünger,Weiblich,,,,3.5
2014,4 Jahre und jünger,Weiblich,,,,3.5
2015,4 Jahre und jünger,Weiblich,,,,3.7
2016,4 Jahre und jünger,Weiblich,,,,3.6
2017,4 Jahre und jünger,Weiblich,,,,3.5
2018,4 Jahre und jünger,Weiblich,,,,3.5
2019,4 Jahre und jünger,Weiblich,,,,3.4
2020,4 Jahre und jünger,Weiblich,,,,3.4
2021,4 Jahre und jünger,Weiblich,,,,3.3
2022,4 Jahre und jünger,Weiblich,,,,3.6
2023,4 Jahre und jünger,Weiblich,,,,3.6
2024,4 Jahre und jünger,Weiblich,,,,3.7
2010,11 Monate und jünger,Männlich,,,,3.7
2011,11 Monate und jünger,Männlich,,,,4.0
2012,11 Monate und jünger,Männlich,,,,3.5
2013,11 Monate und jünger,Männlich,,,,3.6
2014,11 Monate und jünger,Männlich,,,,3.5
2015,11 Monate und jünger,Männlich,,,,3.4
2016,11 Monate und jünger,Männlich,,,,3.7
2017,11 Monate und jünger,Männlich,,,,3.5
2018,11 Monate und jünger,Männlich,,,,3.5
2019,11 Monate und jünger,Männlich,,,,3.5
2020,11 Monate und jünger,Männlich,,,,3.2
2021,11 Monate und jünger,Männlich,,,,3.2
2022,11 Monate und jünger,Männlich,,,,3.3
2023,11 Monate und jünger,Männlich,,,,3.4
2024,11 Monate und jünger,Männlich,,,,3.5
2010,4 Jahre und jünger,Männlich,,,,4.5
2011,4 Jahre und jünger,Männlich,,,,4.7
2012,4 Jahre und jünger,Männlich,,,,4.2
2013,4 Jahre und jünger,Männlich,,,,4.3
2014,4 Jahre und jünger,Männlich,,,,4.0
2015,4 Jahre und jünger,Männlich,,,,4.1
2016,4 Jahre und jünger,Männlich,,,,4.3
2017,4 Jahre und jünger,Männlich,,,,4.1
2018,4 Jahre und jünger,Männlich,,,,4.1
2019,4 Jahre und jünger,Männlich,,,,4.2
2020,4 Jahre und jünger,Männlich,,,,3.7
2021,4 Jahre und jünger,Männlich,,,,3.8
2022,4 Jahre und jünger,Männlich,,,,4.0
2023,4 Jahre und jünger,Männlich,,,,4.2
2024,4 Jahre und jünger,Männlich,,,,4.2
