Year,Altersklasse,Value
2010,Geburten im Alter von 10 bis unter 15 Jahren,0.1
2011,Geburten im Alter von 10 bis unter 15 Jahren,0.1
2012,Geburten im Alter von 10 bis unter 15 Jahren,0.1
2013,Geburten im Alter von 10 bis unter 15 Jahren,0.1
2014,Geburten im Alter von 10 bis unter 15 Jahren,0.1
2015,Geburten im Alter von 10 bis unter 15 Jahren,0.1
2016,Geburten im Alter von 10 bis unter 15 Jahren,0.1
2017,Geburten im Alter von 10 bis unter 15 Jahren,0.1
2010,Geburten im Alter von 15 bis unter 20 Jahren,8.9
2011,Geburten im Alter von 15 bis unter 20 Jahren,8.3
2012,Geburten im Alter von 15 bis unter 20 Jahren,8.0
2013,Geburten im Alter von 15 bis unter 20 Jahren,7.8
2014,Geburten im Alter von 15 bis unter 20 Jahren,7.8
2015,Geburten im Alter von 15 bis unter 20 Jahren,7.9
2016,Geburten im Alter von 15 bis unter 20 Jahren,9.2
2017,Geburten im Alter von 15 bis unter 20 Jahren,8.1
