Year,Units,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Zusagen,,,,841.3
2011,Millionen EUR,Zusagen,,,,1037.4
2012,Millionen EUR,Zusagen,,,,1532.1
2013,Millionen EUR,Zusagen,,,,1318.0
2014,Millionen EUR,Zusagen,,,,1293.6
2015,Millionen EUR,Zusagen,,,,1514.9
2016,Millionen EUR,Zusagen,,,,1676.8
2017,Millionen EUR,Zusagen,,,,2097.2
2018,Millionen EUR,Zusagen,,,,2348.3
2019,Millionen EUR,Zusagen,,,,2500.7
2020,Millionen EUR,Zusagen,,,,3455.1
2021,Millionen EUR,Zusagen,,,,4384.1
2022,Millionen EUR,Zusagen,,,,4442.6
2023,Millionen EUR,Zusagen,,,,2077.0
2024,Millionen EUR,Zusagen,,,,2557.8
2010,Millionen EUR,Bruttoauszahlungen,,,,778.1
2011,Millionen EUR,Bruttoauszahlungen,,,,800.4
2012,Millionen EUR,Bruttoauszahlungen,,,,815.8
2013,Millionen EUR,Bruttoauszahlungen,,,,828.7
2014,Millionen EUR,Bruttoauszahlungen,,,,1094.8
2015,Millionen EUR,Bruttoauszahlungen,,,,1299.0
2016,Millionen EUR,Bruttoauszahlungen,,,,1657.0
2017,Millionen EUR,Bruttoauszahlungen,,,,1632.4
2018,Millionen EUR,Bruttoauszahlungen,,,,1681.2
2019,Millionen EUR,Bruttoauszahlungen,,,,1864.7
2020,Millionen EUR,Bruttoauszahlungen,,,,3189.8
2021,Millionen EUR,Bruttoauszahlungen,,,,3363.4
2022,Millionen EUR,Bruttoauszahlungen,,,,4472.9
2023,Millionen EUR,Bruttoauszahlungen,,,,2506.2
2024,Millionen EUR,Bruttoauszahlungen,,,,2523.6
2010,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1290.7
2011,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1572.1
2012,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2288.9
2013,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1930.5
2014,"Millionen USD, konstante Preise (2024)",Zusagen,,,,1859.5
2015,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2140.3
2016,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2339.5
2017,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2883.7
2018,"Millionen USD, konstante Preise (2024)",Zusagen,,,,3169.5
2019,"Millionen USD, konstante Preise (2024)",Zusagen,,,,3308.6
2020,"Millionen USD, konstante Preise (2024)",Zusagen,,,,4492.6
2021,"Millionen USD, konstante Preise (2024)",Zusagen,,,,5551.2
2022,"Millionen USD, konstante Preise (2024)",Zusagen,,,,5285.9
2023,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2316.1
2024,"Millionen USD, konstante Preise (2024)",Zusagen,,,,2766.4
2010,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1193.7
2011,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1212.9
2012,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1218.8
2013,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1213.8
2014,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1573.7
2015,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,1835.3
2016,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2311.9
2017,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2244.5
2018,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2269.1
2019,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2467.1
2020,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,4147.7
2021,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,4258.9
2022,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,5322.0
2023,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2794.8
2024,"Millionen USD, konstante Preise (2024)",Bruttoauszahlungen,,,,2729.3
