Year,Units,Art des Finanzstroms,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,,r,,,31435.8
2011,Millionen EUR,,r,,,40420.4
2012,Millionen EUR,,r,,,27009.7
2013,Millionen EUR,,r,,,39992.1
2014,Millionen EUR,,r,,,39948.4
2015,Millionen EUR,,r,,,42935.5
2016,Millionen EUR,,r,,,44490.2
2017,Millionen EUR,,r,,,47671.1
2018,Millionen EUR,,r,,,44045.5
2019,Millionen EUR,,r,,,37690.8
2020,Millionen EUR,,r,,,39224.8
2021,Millionen EUR,,r,,,58513.0
2022,Millionen EUR,,r,,,49095.0
2023,Millionen EUR,,,,,68763.5
2010,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,9803.8
2011,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,10135.4
2012,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,10067.0
2013,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,10716.8
2014,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,12486.3
2015,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,16173.1
2016,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,22368.3
2017,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,22181.8
2018,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,21750.3
2019,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,21548.6
2020,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,25728.6
2021,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,27444.2
2022,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),r,,,34655.2
2023,Millionen EUR,Öffentliche Nettoentwicklungsausgaben (ODA),,,,38150.8
2010,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,51.5
2011,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,-103.6
2012,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,-71.0
2013,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,-63.9
2014,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,115.7
2015,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,1194.0
2016,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,-413.9
2017,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,-316.5
2018,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,-99.3
2019,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,12.6
2020,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,370.7
2021,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,1075.8
2022,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),r,,,219.6
2023,Millionen EUR,Sonstige öffentliche Nettoausgaben (OOF),,,,35.1
2010,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,2798.9
2011,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,7392.1
2012,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,4879.7
2013,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,4082.9
2014,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,-120.7
2015,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,1682.3
2016,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,3119.4
2017,Millionen EUR,Öffentlich unterstützte Exportkredite (Nettoausgaben),r,,,5.3
