Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,r,,,CO₂-Emissionen zum realen BIP,269.0
2011,r,,,CO₂-Emissionen zum realen BIP,251.8
2012,r,,,CO₂-Emissionen zum realen BIP,253.4
2013,r,,,CO₂-Emissionen zum realen BIP,258.5
2014,r,,,CO₂-Emissionen zum realen BIP,240.9
2015,r,,,CO₂-Emissionen zum realen BIP,238.2
2016,r,,,CO₂-Emissionen zum realen BIP,233.5
2017,r,,,CO₂-Emissionen zum realen BIP,223.8
2018,r,,,CO₂-Emissionen zum realen BIP,212.8
2019,r,,,CO₂-Emissionen zum realen BIP,197.3
2020,r,,,CO₂-Emissionen zum realen BIP,187.5
2021,r,,,CO₂-Emissionen zum realen BIP,189.7
2022,p,,,CO₂-Emissionen zum realen BIP,183.6
2023,p,,,CO₂-Emissionen zum realen BIP,163.5
2024,p,,,CO₂-Emissionen zum realen BIP,159.4
2010,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,315.1
2011,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,286.7
2012,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,286.4
2013,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,285.5
2014,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,269.0
2015,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,277.1
2016,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,271.4
2017,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,270.2
2018,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,256.4
2019,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,253.7
2020,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,268.6
2021,r,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,259.5
2022,p,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,233.2
2023,p,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,221.1
2024,p,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,231.0
