Year,Zeitreihe,Eigentumsverhältnis,Value
2010,Eigene und gepachtete landwirtschaftlich genutzte Flächen,,98.4
2013,Eigene und gepachtete landwirtschaftlich genutzte Flächen,,98.4
2016,Eigene und gepachtete landwirtschaftlich genutzte Flächen,,98.1
2010,Eigene und gepachtete landwirtschaftlich genutzte Flächen,Eigentum,38.6
2013,Eigene und gepachtete landwirtschaftlich genutzte Flächen,Eigentum,38.4
2016,Eigene und gepachtete landwirtschaftlich genutzte Flächen,Eigentum,39.6
2010,Eigene und gepachtete landwirtschaftlich genutzte Flächen,Pacht,59.8
2013,Eigene und gepachtete landwirtschaftlich genutzte Flächen,Pacht,60.0
2016,Eigene und gepachtete landwirtschaftlich genutzte Flächen,Pacht,58.5
2010,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,,8.4
2013,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,,8.6
2016,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen,,9.6
2010,Betriebe der Rechtsform Einzelunternehmen,,91.3
2013,Betriebe der Rechtsform Einzelunternehmen,,89.8
2016,Betriebe der Rechtsform Einzelunternehmen,,88.6
