Year,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Nettoauszahlungen insgesamt,,,,0.37
2011,Nettoauszahlungen insgesamt,,,,0.36
2012,Nettoauszahlungen insgesamt,,,,0.35
2013,Nettoauszahlungen insgesamt,,,,0.37
2014,Nettoauszahlungen insgesamt,,,,0.41
2015,Nettoauszahlungen insgesamt,,,,0.51
2016,Nettoauszahlungen insgesamt,,,,0.68
2017,Nettoauszahlungen insgesamt,,,,0.65
2018,Nettoauszahlungen insgesamt,,,,0.61
2019,Nettoauszahlungen insgesamt,,,,0.59
2020,Nettoauszahlungen insgesamt,,,,0.73
2021,Nettoauszahlungen insgesamt,,,,0.72
2022,Nettoauszahlungen insgesamt,p,,,0.84
2023,Nettoauszahlungen insgesamt,p,,,0.88
2024,Nettoauszahlungen insgesamt,p,,,0.68
2010,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.1
2011,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.09
2012,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.1
2013,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.09
2014,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.09
2015,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.07
2016,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.1
2017,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.11
2018,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.12
2019,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.11
2020,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.14
2021,Nettoauszahlungen an die am wenigsten entwickelten Länder,,,,0.14
2022,Nettoauszahlungen an die am wenigsten entwickelten Länder,p,,,0.11
2023,Nettoauszahlungen an die am wenigsten entwickelten Länder,p,,,0.2
2024,Nettoauszahlungen an die am wenigsten entwickelten Länder,p,,,0.08
