Year,Units,Series,Value
2010,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2011,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2012,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2013,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2014,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2015,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2016,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2017,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2018,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2019,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2020,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2021,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2022,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2023,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa,1.0
2010,"yes=1, no=0",2) countries that are parties to the nagoya protocol,
2011,"yes=1, no=0",2) countries that are parties to the nagoya protocol,
2012,"yes=1, no=0",2) countries that are parties to the nagoya protocol,
2013,"yes=1, no=0",2) countries that are parties to the nagoya protocol,
2014,"yes=1, no=0",2) countries that are parties to the nagoya protocol,
2015,"yes=1, no=0",2) countries that are parties to the nagoya protocol,
2016,"yes=1, no=0",2) countries that are parties to the nagoya protocol,1.0
2017,"yes=1, no=0",2) countries that are parties to the nagoya protocol,1.0
2018,"yes=1, no=0",2) countries that are parties to the nagoya protocol,1.0
2019,"yes=1, no=0",2) countries that are parties to the nagoya protocol,1.0
2020,"yes=1, no=0",2) countries that are parties to the nagoya protocol,1.0
2021,"yes=1, no=0",2) countries that are parties to the nagoya protocol,1.0
2022,"yes=1, no=0",2) countries that are parties to the nagoya protocol,1.0
2023,"yes=1, no=0",2) countries that are parties to the nagoya protocol,1.0
2010,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",
2011,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",
2012,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",
2013,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",
2014,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",
2015,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",
2016,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",1.0
2017,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",1.0
2018,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",1.0
2019,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",1.0
2020,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",1.0
2021,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",1.0
2022,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",1.0
2023,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa",1.0
2010,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2011,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2012,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2013,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2014,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2015,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2016,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2017,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2018,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2019,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2020,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2021,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2022,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2023,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house",1.0
2010,number,5) total reported number of smtas transferring pgrfa to germany,
2011,number,5) total reported number of smtas transferring pgrfa to germany,
2012,number,5) total reported number of smtas transferring pgrfa to germany,3898.0
2013,number,5) total reported number of smtas transferring pgrfa to germany,5012.0
2014,number,5) total reported number of smtas transferring pgrfa to germany,6068.0
2015,number,5) total reported number of smtas transferring pgrfa to germany,7292.0
2016,number,5) total reported number of smtas transferring pgrfa to germany,8347.0
2017,number,5) total reported number of smtas transferring pgrfa to germany,8728.0
2018,number,5) total reported number of smtas transferring pgrfa to germany,9120.0
2019,number,5) total reported number of smtas transferring pgrfa to germany,9711.0
2020,number,5) total reported number of smtas transferring pgrfa to germany,10239.0
2021,number,5) total reported number of smtas transferring pgrfa to germany,10797.0
2022,number,5) total reported number of smtas transferring pgrfa to germany,11332.0
2023,number,5) total reported number of smtas transferring pgrfa to germany,11821.0
