Year,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) branches of payment service providers,,,,57.9
2011,a) branches of payment service providers,,,,57.0
2012,a) branches of payment service providers,,,,54.7
2013,a) branches of payment service providers,,,,54.3
2014,a) branches of payment service providers,,,,52.8
2015,a) branches of payment service providers,,,,47.8
2016,a) branches of payment service providers,,,,44.9
2017,a) branches of payment service providers,,,,42.2
2018,a) branches of payment service providers,,,,39.0
2019,a) branches of payment service providers,,,,37.3
2020,a) branches of payment service providers,,,,33.8
2021,a) branches of payment service providers,,,,32.8
2022,a) branches of payment service providers,,,,28.5
2023,a) branches of payment service providers,,,,27.1
2010,b) atms of national payment service providers,,,,118.9
2011,b) atms of national payment service providers,,,,120.9
2012,b) atms of national payment service providers,,,,118.3
2013,b) atms of national payment service providers,,,,118.0
2014,b) atms of national payment service providers,,,,123.1
2015,b) atms of national payment service providers,,,,121.6
2016,b) atms of national payment service providers,,,,132.2
2017,b) atms of national payment service providers,,,,118.8
2018,b) atms of national payment service providers,,,,119.9
2019,b) atms of national payment service providers,,,,119.0
2020,b) atms of national payment service providers,,,,116.8
2021,b) atms of national payment service providers,,,,113.1
2022,b) atms of national payment service providers,,,,109.0
2023,b) atms of national payment service providers,,,,106.5
